Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
0:0:29,42487.11,2355.87,209200.00,36.50,27.00,93,396
0:1:29,44000.00,2450.00,218404.89,36.70,27.00,101,577
0:2:30,45050.74,2499.16,222774.34,36.70,27.00,91,459
0:3:30,45116.41,2484.17,220576.11,36.60,27.00,93,439
0:4:31,45317.36,2493.95,224948.03,36.60,27.00,105,627
0:5:31,42982.66,2397.95,216293.27,36.60,27.00,95,369
0:6:32,44783.38,2450.00,220123.17,36.60,27.00,90,478
0:7:32,45387.38,2494.56,221487.59,36.50,27.00,98,557
0:8:33,44000.00,2430.86,218404.89,36.50,27.00,118,653
0:9:33,45383.23,2498.54,220987.63,36.60,27.00,90,611
0:10:34,45182.09,2508.37,222727.30,36.30,27.00,96,414
0:11:34,44194.12,2430.86,216700.59,36.20,27.00,97,456
0:12:35,45116.41,2493.95,221443.28,36.40,27.00,109,477
0:13:35,45590.36,2524.21,225887.28,36.20,27.00,90,536
0:14:36,46200.00,2548.10,224481.34,36.10,27.00,101,405
0:15:36,46615.86,2548.10,228033.48,35.90,27.00,101,561
0:16:37,46825.69,2548.10,227139.89,35.90,27.00,99,771
0:17:37,47462.97,2558.14,228033.48,35.90,27.00,91,687
0:18:38,48331.25,2598.72,231645.58,35.50,27.00,97,376
0:19:38,48719.24,2600.43,234541.59,35.40,27.00,105,395
0:20:39,47894.41,2588.51,230736.84,35.60,27.00,112,589
0:21:39,48996.85,2578.34,228930.83,35.10,26.90,104,444
0:22:40,47678.02,2578.34,225363.83,35.50,27.00,102,439
0:23:40,48262.50,2553.49,226722.34,35.20,26.90,106,396
0:24:41,47894.41,2548.10,228033.48,35.60,26.90,101,438
0:25:41,46825.69,2538.11,223602.50,35.70,26.90,98,560
0:26:42,46414.64,2504.40,224116.44,35.50,26.90,106,568
0:27:42,47894.41,2558.14,224481.34,35.50,26.90,97,430
0:28:43,48996.85,2508.37,224481.34,35.10,26.90,107,489
0:29:43,49238.10,2564.33,230379.77,35.00,26.90,103,634
0:30:44,49082.28,2528.84,221900.81,34.90,26.90,105,397
0:31:44,48482.76,2543.46,223188.42,35.10,26.90,97,583
0:32:45,47036.81,2518.24,214170.03,35.10,26.90,100,603
0:33:45,46200.00,2440.41,212500.00,35.30,26.90,104,460
0:34:46,45585.58,2430.86,208383.23,35.40,26.90,144,444
0:35:46,44194.12,2383.71,205952.38,35.90,27.00,100,392
0:36:47,44982.14,2430.86,208383.23,35.50,26.90,101,653
0:37:47,45182.09,2411.89,215010.13,36.20,27.00,92,606
0:38:48,44718.10,2407.38,212096.77,35.90,26.90,131,502
0:39:48,44783.38,2450.00,211670.00,36.10,26.90,105,468
0:40:49,44783.38,2440.41,210843.36,36.30,26.90,107,482
0:41:49,45789.16,2479.00,220123.17,36.40,26.90,101,623
0:42:50,45789.16,2459.63,218404.89,36.40,26.90,110,524
0:43:50,44785.71,2455.60,214634.13,36.50,26.90,111,467
0:44:51,44783.38,2450.00,213333.31,36.60,26.80,114,684
0:45:51,46548.79,2484.17,220576.11,36.50,26.80,98,791
0:46:52,44000.00,2440.41,208383.23,36.50,26.80,107,496
0:47:52,44982.14,2440.41,210843.36,36.50,26.80,102,634
0:48:53,43234.78,2365.11,205148.52,36.60,26.70,108,527
0:49:53,44585.80,2440.41,211670.00,36.60,26.70,100,703
0:50:54,44982.14,2459.63,217551.02,36.70,26.70,102,525
0:51:54,44389.38,2411.89,210020.03,36.90,26.70,101,691
0:52:55,44722.38,2437.34,214693.88,37.10,26.70,102,567
0:53:55,44585.80,2459.63,215853.64,37.30,26.70,98,517
0:54:56,44982.14,2459.63,220123.17,37.30,26.70,107,472
0:55:56,45182.09,2488.75,216700.59,37.10,26.70,113,575
0:56:57,44325.44,2422.27,208416.83,37.10,26.60,108,456
0:57:57,44000.00,2365.11,204347.81,37.10,26.60,99,584
0:58:58,42487.11,2301.20,202755.91,37.00,26.60,97,353
0:59:58,42858.79,2319.28,204347.81,37.00,26.70,96,600
1:0:59,42668.59,2342.51,200785.86,36.80,26.70,102,490
1:1:59,43807.02,2365.11,207569.72,36.70,26.70,96,537
1:3:0,41576.27,2256.63,201964.64,36.90,26.70,104,513
1:4:0,42119.66,2301.20,200391.39,37.20,26.70,156,777
1:5:1,42672.41,2383.71,202755.91,36.80,26.70,102,685
1:6:1,42302.86,2346.67,200391.39,36.50,26.60,104,714
1:7:2,43360.46,2369.92,203155.81,36.60,26.60,113,524
1:8:2,42672.41,2319.28,201176.48,36.60,26.70,30114,30458
1:9:3,41937.50,2319.28,196511.64,36.70,26.70,102,588
1:10:3,41033.71,2270.12,196116.52,36.60,26.60,113,437
1:11:3,39491.80,2239.05,188973.39,36.60,26.60,107,546
1:12:4,42177.14,2328.63,198050.69,36.70,26.70,98,517
1:13:4,41219.10,2256.63,189714.30,36.50,26.70,100,606
1:14:5,41937.50,2319.28,198830.42,36.60,26.70,98,666
1:15:5,40000.00,2212.94,186767.50,36.70,26.70,105,403
1:16:6,41042.02,2274.35,193461.55,36.90,26.70,97,409
1:17:6,40690.80,2283.27,190458.02,37.00,26.60,99,630
1:18:7,40690.80,2283.27,193461.55,37.00,26.60,94,816
1:19:7,41507.08,2292.58,195728.16,37.10,26.60,100,666
1:20:8,41937.50,2337.50,201176.48,37.10,26.60,101,736
1:21:8,41042.02,2274.35,193461.55,37.30,26.60,96,567
1:22:9,42234.96,2319.76,201181.09,37.30,26.60,97,600
1:23:9,42119.66,2337.50,203550.28,37.10,26.60,100,407
1:24:10,42982.66,2360.65,205555.55,37.10,26.60,92,848
1:25:10,42609.20,2369.92,205555.55,37.00,26.60,97,643
1:26:11,42672.41,2319.28,201964.64,36.90,26.60,98,399
1:27:11,42487.11,2346.67,200391.39,37.40,26.60,101,587
1:28:12,42858.79,2365.11,205148.52,37.30,26.60,97,355
1:29:12,42858.79,2411.89,205952.38,37.30,26.60,102,610
1:30:13,43046.24,2383.71,205148.52,37.30,26.60,94,440
1:31:13,42858.79,2383.71,203550.28,37.30,26.60,105,558
1:32:14,42858.79,2411.89,207569.72,37.30,26.60,92,647
1:33:14,43360.46,2388.57,208800.00,37.20,26.50,97,465
1:34:15,43615.16,2383.71,207569.72,37.20,26.50,117,575
1:35:15,43424.41,2383.71,205148.52,37.10,26.50,91,348
1:36:16,44522.25,2403.29,209236.94,37.00,26.50,95,465
1:37:16,43046.24,2365.11,202755.91,37.00,26.50,93,526
1:38:17,44000.00,2388.96,208817.63,37.10,26.50,143,725
1:39:17,43424.41,2383.71,204347.81,37.10,26.50,92,587
1:40:18,44000.00,2393.06,205952.38,37.00,26.50,94,867
1:41:18,44194.69,2407.80,211290.31,37.00,26.50,113,766
1:42:19,44390.53,2407.80,211290.31,37.00,26.50,98,523
1:43:19,44389.38,2421.35,211670.00,36.80,26.50,95,490
1:44:20,44916.66,2445.45,212096.77,36.40,26.50,107,536
1:45:20,44982.14,2459.63,212500.00,36.50,26.50,99,794
1:46:21,44783.38,2450.00,215853.64,36.50,26.50,95,651
1:47:21,44783.38,2450.00,213333.31,36.50,26.50,91,546
1:48:22,43424.41,2346.67,208383.23,36.40,26.50,100,555
1:49:22,44783.38,2411.89,208383.23,36.70,26.50,94,473
1:50:23,45182.09,2411.89,213333.31,36.30,26.50,105,596
1:51:23,44783.38,2411.89,211670.00,36.10,26.50,101,523
1:52:24,45585.58,2469.29,215010.13,36.20,26.50,120,636
1:53:24,43234.78,2355.87,204347.81,36.20,26.50,112,657
1:54:25,44783.38,2430.86,215853.64,36.50,26.50,102,559
1:55:25,44916.66,2397.95,209619.23,36.10,26.50,101,393
1:56:26,46407.30,2440.41,215853.64,36.30,26.50,109,523
1:57:26,45590.36,2417.28,212121.20,36.30,26.50,103,590
1:58:27,45866.66,2465.83,217213.09,36.20,26.50,92,291
1:59:27,46623.86,2494.56,222360.22,36.20,26.50,109,481
2:0:28,44982.14,2421.35,217551.02,36.30,26.50,110,595
2:1:28,46414.64,2475.00,217177.89,36.50,26.50,110,525
2:2:29,46615.86,2508.37,221855.70,36.10,26.40,99,631
2:3:29,44194.12,2346.67,208383.23,36.20,26.40,97,593
2:4:30,46200.00,2479.00,219262.27,36.50,26.40,106,465
2:5:30,46066.67,2450.52,219301.81,36.40,26.40,140,518
2:6:31,47894.41,2548.10,228033.48,36.40,26.40,111,637
2:7:31,47249.23,2538.11,222727.30,36.40,26.40,111,586
2:8:32,46825.69,2469.29,220987.63,36.40,26.40,106,470
2:9:32,48112.15,2528.15,226250.00,36.60,26.30,111,508
2:10:33,47678.02,2508.37,228033.48,36.50,26.40,100,514
2:11:33,48125.00,2514.29,225887.28,36.30,26.30,97,563
2:12:34,48043.62,2523.53,227615.08,36.30,26.40,106,692
2:13:34,48331.25,2528.15,224481.34,36.50,26.30,103,476
2:14:35,48551.73,2548.10,231645.58,36.40,26.30,98,506
2:15:35,48773.59,2498.54,228033.48,36.40,26.30,102,427
2:16:36,48331.25,2528.15,229831.95,36.50,26.30,100,354
2:17:36,48112.15,2538.11,227139.89,36.10,26.30,105,649
2:18:37,47826.09,2533.47,226722.34,36.10,26.30,123,501
