Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
0:0:27,136338.06,3053.27,211267.59,23.30,28.30,108,499
0:1:27,139913.70,3108.02,213333.31,23.40,28.30,105,520
0:2:28,132150.73,3046.15,214170.03,23.50,28.30,102,505
0:3:28,136493.00,3058.41,213333.31,23.50,28.30,101,562
0:4:29,128040.05,3046.15,209200.00,23.60,28.20,102,404
0:5:29,126065.84,3046.15,207569.72,23.70,28.20,104,338
0:6:30,126609.23,3055.27,211290.31,23.70,28.20,100,472
0:7:30,123199.95,3046.15,210020.03,23.70,28.20,96,387
0:8:31,118662.46,3033.95,211670.00,23.80,28.20,107,465
0:9:31,116790.09,3016.71,210441.75,23.90,28.20,103,668
0:10:32,116925.89,3033.95,210843.36,24.00,28.20,103,427
0:11:32,114399.97,3009.72,209200.00,24.00,28.20,106,440
0:12:33,109614.02,2997.69,209200.00,24.00,28.10,103,478
0:13:33,103731.83,2973.79,205952.38,24.00,28.10,120,567
0:14:33,102342.53,2961.93,201964.64,24.10,28.10,103,585
0:15:34,102342.53,2950.11,203550.28,24.20,28.10,100,439
0:16:34,103731.83,2985.71,204347.81,24.30,28.10,100,747
0:17:35,100315.20,2961.93,205148.52,24.30,28.10,96,555
0:18:35,100315.20,2985.71,206759.44,24.30,28.10,99,469
0:19:36,95832.45,2938.36,202755.91,24.30,28.00,90,344
0:20:36,92489.79,2946.79,202366.86,24.40,28.00,102,503
0:21:37,93670.09,2946.79,205566.61,24.50,28.00,101,394
0:22:37,92826.52,2950.11,204347.81,24.40,28.00,100,400
0:23:38,88000.00,2900.00,199217.23,24.40,28.00,97,433
0:24:38,85066.67,2898.41,198440.56,24.60,28.00,104,555
0:25:39,81714.29,2903.40,198830.42,24.60,28.00,96,514
0:26:39,83168.23,2926.65,203550.28,24.60,28.00,97,670
0:27:40,83168.23,2938.36,201964.64,24.60,28.00,101,439
0:28:40,78923.78,2880.36,197281.56,24.60,28.00,100,521
0:29:41,74592.27,2834.90,192706.33,24.60,28.00,105,525
0:30:41,75008.61,2846.19,191954.03,24.60,28.00,102,420
0:31:42,75008.61,2891.85,197281.56,24.60,28.00,97,489
0:32:42,72962.02,2891.85,196511.64,24.70,28.00,94,347
0:33:43,72312.23,2845.60,193036.77,24.80,28.00,99,618
0:34:43,70255.14,2871.95,196498.06,24.80,28.00,100,506
0:35:44,69487.80,2868.92,193461.55,24.80,28.00,94,326
0:36:44,67665.34,2823.66,194980.70,24.80,28.00,94,553
0:37:45,67309.52,2846.19,190458.02,24.90,28.00,96,593
0:38:45,66608.70,2849.10,193436.30,24.80,28.00,93,623
0:39:46,65914.06,2834.90,189714.30,24.80,28.00,92,554
0:40:46,65062.02,2836.32,189694.66,24.70,27.90,97,621
0:41:47,62928.30,2790.24,186037.73,24.80,27.90,99,701
0:42:47,62679.25,2786.67,187832.72,24.90,27.90,91,508
0:43:48,61665.43,2757.27,184586.48,25.00,27.90,99,698
0:44:48,61977.62,2779.20,183146.09,25.00,27.90,100,580
0:45:49,61665.43,2768.21,182429.92,25.10,27.90,96,546
0:46:49,61649.26,2770.73,187452.48,25.10,27.90,94,538
0:47:50,62430.19,2794.20,188910.16,25.20,27.90,98,595
0:48:50,61047.98,2757.27,186037.73,25.30,27.80,99,539
0:49:51,60742.66,2768.21,186037.73,25.30,27.90,103,789
0:50:51,60742.66,2757.27,186037.73,25.40,27.80,90,517
0:51:52,60966.80,2785.37,187121.22,25.40,27.80,90,30440
0:52:52,59840.00,2779.20,184586.48,25.50,27.80,89,567
0:53:53,60058.40,2752.42,185660.39,25.60,27.80,87,664
0:54:53,61731.35,2775.61,187096.80,25.70,27.80,87,516
0:55:54,61047.98,2757.27,185310.75,25.80,27.80,88,471
0:56:54,61665.43,2779.20,186767.50,26.00,27.80,95,525
0:57:55,63000.00,2797.77,190057.38,26.00,27.80,101,555
0:58:55,62928.30,2801.33,186767.50,26.20,27.80,95,399
0:59:56,64640.93,2831.39,193063.58,26.30,27.80,100,466
1:0:56,64561.54,2812.47,188235.31,26.50,27.80,95,507
1:1:57,65913.73,2826.46,192678.23,26.60,27.80,98,474
1:2:57,64895.75,2801.33,191204.61,26.70,27.80,99,448
1:3:58,65914.06,2801.33,194219.66,26.80,27.80,97,488
1:4:58,66606.30,2823.66,194980.70,26.70,27.80,107,348
1:5:59,68483.87,2831.39,196887.17,26.90,27.80,95,544
1:6:59,70147.54,2829.98,196124.05,27.10,27.80,99,359
1:8:0,73364.40,2857.53,198054.48,27.20,27.80,93,497
1:9:0,73582.97,2836.32,197276.28,27.30,27.80,98,453
1:10:1,76710.54,2846.19,198054.48,27.30,27.80,101,460
1:11:1,79378.39,2868.92,199609.38,27.40,27.80,102,412
1:12:2,85171.44,2915.00,200391.39,27.60,27.80,94,414
1:13:2,82194.45,2857.53,199609.38,27.60,27.80,102,354
1:14:3,84857.15,2888.44,200000.00,27.70,27.80,103,531
1:15:3,82679.07,2868.92,201964.64,27.80,27.80,103,342
1:16:4,86512.08,2893.42,201968.50,27.90,27.80,97,658
1:17:4,91095.48,2938.36,201176.48,27.90,27.80,100,459
1:18:5,91095.48,2857.53,199609.38,27.70,27.80,99,365
1:19:5,92826.52,2880.36,202755.91,27.60,27.80,94,385
1:20:6,96846.55,2928.31,203557.30,27.70,27.80,97,573
1:21:6,99956.51,2958.62,208817.63,27.80,27.80,97,408
1:22:7,95832.45,2915.00,206759.44,27.80,27.80,103,468
1:23:7,89415.84,2915.00,203550.28,27.90,27.80,95,591
1:24:8,90763.82,2946.79,206374.50,27.90,27.80,99,527
1:25:8,86724.64,2915.00,204347.81,27.90,27.80,113,288
1:26:9,90200.00,2958.62,208817.63,27.90,27.80,101,384
1:27:9,91666.66,2938.36,205952.38,28.00,27.80,106,548
1:28:10,94416.66,2974.07,210505.05,28.00,27.70,104,599
1:29:10,95218.74,2973.79,210020.03,28.00,27.70,104,547
1:30:10,91095.48,2926.65,210020.03,28.10,27.70,104,366
1:31:11,95218.74,2973.79,210020.03,28.10,27.70,103,457
1:32:11,96264.54,2998.14,216393.42,28.10,27.70,105,538
1:33:12,94497.41,2980.65,212929.28,28.20,27.70,114,546
1:34:12,95218.74,2997.69,216700.59,28.20,27.70,97,565
1:35:13,93415.38,2973.79,212500.00,28.40,27.70,98,304
1:36:13,94010.30,2997.69,216700.59,28.40,27.60,102,433
1:37:14,94010.30,2985.71,217551.02,28.50,27.60,104,472
1:38:14,94611.40,2985.71,217551.02,28.60,27.70,97,351
1:39:15,93302.56,2968.74,215447.14,28.60,27.70,98,464
1:40:15,97712.76,3021.81,218404.89,28.60,27.70,97,433
1:41:16,95832.45,2973.79,215853.64,28.70,27.70,101,373
1:42:16,95832.45,2961.93,213333.31,28.80,27.70,98,390
1:43:17,99535.13,3004.63,218852.44,28.80,27.60,101,430
1:44:17,99654.04,3009.72,220123.17,28.90,27.60,105,442
1:45:18,96336.84,3004.63,219712.50,28.80,27.60,101,356
1:46:18,91555.55,2980.65,214604.44,29.00,27.60,100,414
1:47:19,94010.30,3009.72,215853.64,29.00,27.60,98,382
1:48:19,95832.45,2997.69,215010.13,29.00,27.60,104,431
1:49:20,90763.82,2970.51,210462.77,29.00,27.60,98,381
1:50:20,86724.64,2950.11,213333.31,29.10,27.60,98,482
1:51:21,85171.44,2950.11,210020.03,29.10,27.60,99,419
1:52:21,85884.62,2958.62,214634.13,29.00,27.60,98,380
1:53:22,84857.15,2970.51,212955.45,29.10,27.60,104,376
1:54:22,85684.21,2961.93,212500.00,29.20,27.60,98,378
1:55:23,82194.45,2938.36,210020.03,29.20,27.50,105,402
1:56:23,80767.13,2950.11,210843.36,29.20,27.60,97,390
1:57:24,81888.90,2946.79,212121.20,29.30,27.50,101,509
1:58:24,82194.45,2973.79,211670.00,29.40,27.60,101,450
1:59:25,80767.13,2950.11,211670.00,29.50,27.50,110,491
2:0:25,84160.38,2950.11,211670.00,29.40,27.50,100,620
2:1:26,86201.92,2997.69,215853.64,29.50,27.50,100,366
2:2:26,84454.98,2975.58,214198.77,29.60,27.50,94,361
2:3:27,80767.13,2950.11,212500.00,29.60,27.50,96,502
