Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
0:0:0,136183.14,3429.57,264090.88,54.70,19.50,94,470
0:1:0,116073.59,3343.35,256696.41,54.30,19.50,93,427
0:2:1,129918.97,3406.98,264545.44,54.00,19.50,90,609
0:3:1,127600.05,3396.01,270046.06,54.10,19.50,88,472
0:4:2,125921.10,3406.98,274245.97,55.00,19.50,89,437
0:5:2,134291.70,3426.50,269266.03,54.50,19.50,89,491
0:6:3,125098.09,3384.62,272517.34,54.10,19.50,92,523
0:7:3,177964.30,3678.21,301477.84,54.50,19.50,91,377
0:8:4,207428.56,3655.21,291346.16,54.00,19.50,93,524
0:9:4,178946.44,3526.72,290647.50,53.30,19.50,88,371
0:10:5,149801.56,3412.47,278037.41,54.40,19.40,88,368
0:11:5,153828.16,3483.33,281411.78,55.80,19.40,89,506
0:12:6,144222.27,3424.06,284560.56,55.30,19.40,87,452
0:13:6,145955.25,3398.51,281411.78,55.70,19.40,87,401
0:14:7,160975.64,3512.18,289473.72,55.60,19.40,84,428
0:15:7,122269.19,3343.35,276923.09,55.90,19.40,88,481
0:16:8,116073.59,3398.51,281411.78,56.90,19.30,90,474
0:17:8,130067.62,3426.50,283687.97,57.00,19.30,89,390
0:18:9,131102.09,3483.33,293012.06,57.00,19.30,90,448
0:19:9,139913.70,3512.18,294202.91,56.50,19.30,88,451
0:20:9,128040.05,3454.77,294202.91,57.10,19.30,87,441
0:21:10,141087.00,3454.77,293012.06,58.10,19.30,84,409
0:22:10,153828.16,3526.72,293012.06,56.90,19.20,83,390
0:23:11,139913.70,3440.60,294202.91,56.00,19.20,84,472
0:24:11,178946.44,3585.60,299024.38,56.70,19.20,81,350
0:25:12,155212.64,3440.60,289473.72,56.50,19.20,91,482
0:26:12,180756.78,3556.01,296601.94,57.20,19.20,88,458
0:27:13,167126.08,3483.33,294202.91,55.90,19.20,82,449
0:28:13,144711.16,3454.77,287142.84,56.70,19.20,97,484
0:29:14,127046.41,3398.51,287142.84,57.40,19.20,89,489
0:30:14,148166.70,3501.02,296837.00,58.20,19.20,85,477
0:31:15,151123.11,3526.72,293012.06,58.30,19.10,94,697
0:32:15,145462.72,3452.39,295145.63,57.60,19.10,84,532
