Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
0:0:54,297942.72,3740.58,297799.50,71.70,18.00,82,421
0:1:55,225318.66,3600.52,280281.72,72.10,18.00,80,417
0:2:55,242776.42,3585.60,281411.78,72.30,18.00,84,535
0:3:56,245928.52,3556.01,275813.97,72.10,18.00,79,553
0:4:56,259324.92,3570.77,275813.97,72.00,18.00,79,652
0:5:57,274131.47,3615.50,276923.09,72.10,18.00,82,527
0:6:57,280648.53,3662.83,285918.88,72.00,18.00,84,527
0:7:58,299514.16,3676.24,285985.75,70.70,18.00,81,582
0:8:58,329656.06,3882.70,295399.53,71.10,18.00,83,709
0:9:59,290583.22,3630.57,278037.41,70.60,17.90,82,579
0:10:59,266538.38,3645.71,281411.78,70.70,17.90,82,594
0:12:0,249156.56,3615.50,278037.41,71.70,17.90,89,747
0:13:0,236689.61,3570.77,279156.91,72.10,17.90,77,564
0:14:1,258774.92,3619.17,275990.69,72.10,17.90,82,586
0:15:1,259324.92,3600.52,276923.09,71.90,17.90,89,506
0:16:2,262050.55,3659.01,284560.56,71.80,17.90,87,548
0:17:2,281837.72,3670.50,284360.22,71.60,17.90,87,566
0:18:3,318999.81,3753.97,283687.97,71.50,17.90,91,536
0:19:3,262050.55,3674.35,281132.09,70.60,17.80,82,477
0:20:4,290583.22,3691.62,283687.97,71.30,17.80,95,451
0:21:4,308323.38,3805.88,286190.47,71.50,17.80,96,459
0:22:5,285698.50,3711.05,283886.28,71.50,17.80,85,385
0:23:5,286301.25,3630.57,278037.41,71.00,17.80,95,480
0:24:5,259324.92,3660.94,283687.97,71.10,17.80,72,396
0:25:6,233749.95,3645.71,282547.19,71.60,17.80,85,528
0:26:6,259324.92,3585.60,273611.13,71.70,17.80,98,449
0:27:7,294675.94,3763.93,287828.19,71.80,17.80,87,409
0:28:7,308970.44,3753.97,293012.06,71.90,17.70,90,573
0:29:8,353099.75,3899.19,294202.91,71.50,17.70,94,517
0:30:8,329656.06,3769.76,285985.75,71.80,17.70,91,587
0:31:9,313910.28,3738.26,289473.72,71.00,17.70,89,404
0:32:9,410807.31,4051.67,303940.91,70.50,17.70,152,554
0:33:10,387199.66,3982.97,305185.19,68.30,17.70,90,475
0:34:10,378713.97,3981.82,304950.47,68.70,17.60,94,409
0:35:11,353099.75,3866.31,291826.91,70.10,17.60,84,600
0:36:11,328968.56,3805.88,294431.00,70.70,17.60,84,520
0:37:12,335237.88,3785.64,291826.91,71.10,17.60,90,457
0:38:12,352733.09,3844.09,298536.56,70.70,17.60,95,478
0:39:13,329656.06,3738.26,284834.13,71.20,17.50,92,566
0:40:13,329312.31,3779.79,293719.81,71.20,17.50,97,467
0:41:14,308970.44,3769.76,291826.91,71.40,17.50,94,388
0:42:14,282135.03,3676.24,282547.19,71.70,17.50,91,517
0:43:15,290277.66,3716.84,285510.69,72.50,17.50,95,448
0:44:15,290583.22,3645.71,281411.78,72.60,17.50,88,345
0:45:16,278079.91,3707.09,289473.72,72.20,17.50,92,542
0:46:16,317999.81,3784.00,284560.56,72.30,17.50,89,448
0:47:16,357220.06,3798.39,290120.50,71.90,17.50,91,399
0:48:17,304173.78,3753.97,297810.22,71.40,17.50,88,649
0:49:17,359084.47,3893.23,303448.28,71.60,17.50,111,562
0:50:18,313910.28,3707.09,284834.13,71.20,17.50,91,512
0:51:18,299199.84,3795.73,291346.16,71.80,17.50,105,537
0:52:19,286301.25,3738.26,289473.72,72.20,17.50,106,596
0:53:19,345868.63,3864.86,301228.50,72.20,17.50,96,500
0:54:20,329656.06,3785.64,281411.78,72.50,17.50,91,470
0:55:20,278079.91,3769.76,284834.13,71.30,17.50,92,519
0:56:21,308646.91,3763.93,286666.66,71.40,17.50,116,783
0:57:21,329656.06,3817.65,305185.19,71.80,17.50,89,774
0:58:22,313910.28,3738.26,295399.53,72.30,17.50,95,767
0:59:22,286301.25,3707.09,282547.19,72.40,17.50,89,667
1:0:23,312925.19,3705.26,285714.28,71.50,17.50,96,613
1:1:23,270285.63,3676.24,280281.72,71.10,17.60,91,422
1:2:24,276613.25,3709.23,291787.44,71.10,17.50,92,535
1:3:24,245142.80,3643.75,281132.09,72.60,17.50,91,448
1:4:25,239697.64,3691.62,289473.72,72.60,17.50,90,473
1:5:25,248361.39,3674.35,284560.56,72.60,17.60,107,486
1:6:26,274131.47,3676.24,288305.50,71.70,17.60,91,475
1:7:26,242776.42,3630.57,282547.19,71.80,17.60,86,538
1:8:27,255851.78,3769.76,295399.53,72.30,17.60,90,540
1:9:27,259324.92,3645.71,288305.50,72.70,17.60,93,486
1:10:27,252463.36,3660.94,281411.78,72.10,17.60,86,563
1:11:28,219763.42,3594.84,279812.22,72.70,17.60,91,477
1:12:28,198647.05,3497.72,268192.19,72.50,17.60,84,642
1:13:29,202400.00,3598.45,276635.53,73.00,17.60,91,473
1:14:29,170170.97,3521.12,268807.31,72.90,17.60,90,365
1:15:30,210020.61,3600.52,274710.00,72.90,17.60,89,400
1:16:30,211291.66,3617.14,277934.31,73.00,17.60,84,499
1:17:31,230876.38,3585.60,276923.09,72.00,17.60,85,550
1:18:31,214905.25,3585.60,275813.97,71.30,17.60,90,454
1:19:32,219999.98,3570.77,273611.13,71.90,17.60,85,451
1:20:32,216723.38,3583.50,276635.53,71.90,17.60,88,567
1:21:33,207204.06,3589.18,279342.75,71.70,17.60,83,514
1:22:33,219999.98,3585.60,276923.09,71.90,17.60,87,477
1:23:34,232999.97,3598.45,280000.03,72.30,17.60,79,570
1:24:34,214905.25,3512.18,272517.34,72.40,17.60,85,567
1:25:35,214905.25,3556.01,276923.09,72.20,17.60,87,577
1:26:35,228066.64,3585.60,276923.09,71.60,17.60,83,599
1:27:36,262607.50,3594.84,277570.13,71.50,17.60,80,534
1:28:36,239697.64,3570.77,275813.97,71.70,17.60,87,563
1:29:37,318999.81,3676.24,281411.78,71.10,17.70,83,467
1:30:37,318333.13,3695.54,283886.28,71.10,17.60,86,471
1:31:38,274131.47,3660.94,279156.91,71.30,17.60,82,575
1:32:38,236689.61,3570.77,280281.72,72.40,17.60,82,604
1:33:39,290277.66,3670.50,284360.22,72.00,17.60,81,451
1:34:39,290277.66,3685.86,283215.16,71.30,17.60,84,615
1:35:39,323230.59,3720.84,284560.56,70.80,17.60,81,561
1:36:40,289666.53,3643.75,283412.34,71.00,17.60,85,537
1:37:40,273263.06,3613.47,281132.09,72.60,17.60,80,499
1:38:41,282135.03,3585.60,280281.72,71.60,17.60,85,705
1:39:41,299514.16,3691.62,275813.97,71.40,17.70,78,526
1:40:42,286301.25,3707.09,283687.97,71.10,17.60,80,581
1:41:42,290583.22,3600.52,267123.28,71.50,17.60,82,600
1:42:43,266538.38,3570.77,274710.00,71.50,17.60,86,656
1:43:43,236689.61,3570.77,275813.97,72.50,17.60,84,545
1:44:44,284493.03,3657.07,278588.25,72.50,17.60,83,601
1:45:44,230876.38,3556.01,269266.03,72.10,17.60,77,461
1:46:45,245928.52,3585.60,278037.41,71.80,17.60,82,571
1:47:45,262886.00,3585.60,271428.59,71.70,17.60,91,620
1:48:46,299514.16,3769.76,281411.78,71.10,17.60,83,525
1:49:46,294985.78,3676.24,279156.91,71.50,17.60,87,473
1:50:47,258499.92,3659.01,283412.34,71.70,17.60,85,529
1:51:47,233749.95,3556.01,272517.34,72.30,17.60,102,629
1:52:48,259324.92,3600.52,276923.09,71.70,17.60,86,591
1:53:48,242776.42,3570.77,276923.09,71.40,17.60,82,528
1:54:49,259049.92,3594.84,282075.50,71.30,17.60,83,519
1:55:49,228066.64,3570.77,273611.13,71.10,17.60,82,649
1:56:50,207653.05,3526.72,274710.00,71.20,17.60,91,573
1:57:50,242776.42,3630.57,280281.72,71.10,17.60,87,472
1:58:50,225318.66,3630.57,281411.78,71.10,17.60,88,624
1:59:51,236689.61,3615.50,275813.97,71.50,17.60,89,470
2:0:51,262886.00,3645.71,279156.91,71.90,17.60,96,458
2:1:52,251121.89,3617.14,273488.34,72.00,17.60,83,618
2:2:52,239186.02,3544.76,277102.84,72.60,17.50,86,550
2:3:53,207653.05,3483.33,266059.22,72.60,17.60,85,440
2:4:53,230876.38,3556.01,278037.41,72.30,17.60,93,565
2:5:54,196504.86,3497.72,276923.09,71.80,17.50,94,568
2:6:54,205333.33,3570.77,282547.19,72.20,17.50,84,543
2:7:55,217425.52,3630.57,287142.84,72.50,17.50,88,458
2:8:55,255851.78,3615.50,294202.91,72.40,17.50,89,601
2:9:56,214442.09,3589.18,283886.28,72.20,17.50,94,576
2:10:56,196504.86,3556.01,284834.13,72.10,17.50,89,480
2:11:57,198647.05,3570.77,281411.78,71.60,17.50,88,595
2:12:57,233749.95,3630.57,288305.50,71.60,17.60,97,539
2:13:58,225318.66,3615.50,290647.50,72.10,17.50,96,600
2:14:58,212437.48,3585.60,283687.97,72.40,17.60,90,516
2:15:59,200831.69,3585.60,280281.72,72.50,17.50,94,503
2:16:59,192342.88,3512.18,278037.41,72.90,17.50,73,488
2:18:0,236689.61,3585.60,287142.84,72.30,17.50,105,495
2:19:0,236436.73,3609.82,280941.19,71.70,17.50,94,437
2:20:1,270285.63,3691.62,300244.50,71.50,17.50,90,453
2:21:1,249156.56,3707.09,291826.91,71.50,17.60,89,522
2:22:1,251658.48,3643.75,288038.31,72.30,17.50,94,435
2:23:2,261493.59,3632.29,297799.50,72.10,17.50,88,451
2:24:2,228066.64,3585.60,289473.72,71.50,17.50,91,424
2:25:3,239186.02,3634.29,287350.84,71.30,17.60,89,519
2:26:3,225318.66,3615.50,294202.91,71.30,17.60,91,504
2:27:4,252463.36,3645.71,294202.91,72.20,17.60,96,541
2:28:4,214905.25,3570.77,290647.50,72.20,17.60,87,527
2:29:5,290277.66,3926.43,322762.13,72.40,17.60,105,525
2:30:5,308970.44,3801.60,305185.19,71.70,17.50,86,557
2:31:6,294985.78,3722.63,293012.06,71.50,17.50,98,604
2:32:6,317999.81,3832.26,310000.00,71.10,17.50,89,485
2:33:7,262886.00,3676.24,297810.22,71.20,17.50,90,630
2:34:7,242776.42,3585.60,289473.72,71.30,17.50,90,461
2:35:8,290583.22,3660.94,301470.59,71.30,17.50,91,443
2:36:8,225318.66,3585.60,291826.91,72.00,17.50,89,496
2:37:9,284493.03,3719.05,302222.22,71.80,17.50,86,569
2:38:9,285999.88,3732.45,298536.56,72.10,17.50,88,498
2:39:10,270285.63,3676.24,303940.91,72.10,17.50,92,465
2:40:10,233749.95,3615.50,291826.91,71.90,17.40,88,485
2:41:11,196504.86,3526.72,289473.72,72.40,17.40,93,562
2:42:11,203060.00,3556.01,283687.97,72.20,17.40,90,403
2:43:12,262886.00,3660.94,300244.50,72.20,17.50,88,507
2:44:12,245928.52,3630.57,289473.72,72.80,17.40,120,430
2:45:12,227822.20,3579.95,291346.16,71.90,17.40,89,539
2:46:13,207653.05,3526.72,281411.78,71.70,17.40,89,481
2:47:13,210020.61,3570.77,288305.50,72.10,17.40,86,500
2:48:14,198647.05,3556.01,284834.13,72.30,17.40,91,575
2:49:14,229887.61,3653.26,300737.09,72.90,17.40,91,398
2:50:15,196504.86,3526.72,287142.84,72.70,17.40,88,470
2:51:15,230876.38,3660.94,301470.59,72.10,17.40,88,511
2:52:16,299514.16,3738.26,291826.91,72.20,17.40,85,451
2:53:16,286301.25,3801.60,307692.31,72.40,17.30,92,550
2:54:17,333142.66,3847.03,297310.50,72.40,17.30,89,500
2:55:17,252195.06,3655.21,293719.81,72.60,17.30,85,556
2:56:18,232999.97,3613.47,289208.66,72.70,17.30,84,543
2:57:18,235930.98,3689.76,300000.00,73.10,17.40,86,436
2:58:19,227333.31,3613.47,292753.63,73.20,17.40,83,574
2:59:19,266538.38,3676.24,294202.91,73.20,17.30,85,542
3:0:20,219999.98,3570.77,287142.84,72.90,17.40,82,593
3:1:20,221913.02,3613.47,288038.31,73.00,17.30,88,613
3:2:21,200831.69,3541.33,285985.75,73.00,17.30,92,581
3:3:21,233249.97,3619.17,285035.63,72.80,17.40,81,532
3:4:22,249156.56,3615.50,284834.13,72.50,17.30,84,569
3:5:22,259324.92,3600.52,283687.97,72.30,17.30,94,723
3:6:23,228066.64,3600.52,281411.78,72.60,17.40,83,505
3:7:23,225318.66,3585.60,285985.75,72.90,17.30,79,514
3:8:23,205333.33,3570.77,282547.19,72.10,17.40,83,565
3:9:24,212437.48,3556.01,276923.09,72.00,17.40,76,656
3:10:24,225318.66,3585.60,283687.97,72.30,17.40,83,575
3:11:25,204666.66,3539.13,278873.25,71.90,17.40,79,693
3:12:25,207653.05,3556.01,283687.97,72.70,17.40,79,645
3:13:26,203060.00,3526.72,283687.97,72.50,17.40,79,630
3:14:26,210020.61,3541.33,278037.41,72.60,17.50,87,713
3:15:27,198647.05,3512.18,280281.72,72.90,17.50,93,587
3:16:27,197568.63,3557.33,283610.47,72.80,17.50,78,623
3:17:28,200831.69,3570.77,282547.19,72.80,17.50,84,557
3:18:28,226844.42,3662.83,290602.44,72.60,17.40,81,568
3:19:29,259324.92,3645.71,288305.50,72.40,17.50,88,496
3:20:29,286301.25,3722.63,285985.75,72.10,17.50,87,543
3:21:30,262050.55,3659.01,292753.63,70.50,17.50,81,524
3:22:30,269428.47,3689.76,289208.66,71.70,17.40,88,525
3:23:31,238674.38,3683.99,294660.22,71.90,17.40,95,526
3:24:31,307999.84,3848.52,296350.38,72.10,17.40,92,435
3:25:32,265974.28,3664.75,290865.38,71.40,17.40,84,518
3:26:32,259324.92,3645.71,287142.84,71.90,17.40,85,407
