Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
0:0:3,304173.78,3398.51,242857.14,32.10,26.60,111,325
0:1:3,308970.44,3289.27,233474.58,32.30,26.50,113,384
0:2:4,294985.78,3197.12,244782.61,32.60,26.40,104,286
0:3:4,313910.28,3440.60,240000.00,32.40,26.50,122,428
0:4:5,278079.91,3343.35,237179.50,32.90,26.40,112,337
0:5:5,324245.97,3384.62,242857.14,33.20,26.40,114,252
0:6:6,351999.78,3553.85,256375.84,33.70,26.40,100,263
0:7:6,335237.88,3454.77,252654.84,33.40,26.40,106,360
0:8:7,357965.81,3418.55,247912.08,33.60,26.30,102,349
0:9:7,351633.09,3461.11,242082.42,33.60,26.30,98,332
0:10:8,346589.94,3492.15,255233.83,33.60,26.30,102,352
0:11:8,340644.94,3492.15,248245.61,33.70,26.30,98,417
0:12:9,323230.59,3233.41,246389.50,34.20,26.20,105,389
0:13:9,329656.06,3210.10,240000.00,34.20,26.20,103,294
0:14:10,324245.97,3197.12,234394.92,34.30,26.10,102,240
0:15:10,329656.06,3426.50,245751.64,34.20,26.10,104,401
0:16:11,340290.09,3332.51,246827.14,34.50,26.00,102,258
0:17:11,285698.50,3212.53,241036.73,33.90,25.90,109,370
0:18:12,379892.53,3526.72,237179.50,33.80,25.90,105,271
0:19:12,387199.66,3585.60,259775.27,33.80,25.80,106,392
0:20:13,379892.53,3329.73,258744.38,34.30,25.70,106,269
0:21:13,359457.34,3426.50,243817.78,34.30,25.70,103,397
0:22:13,435958.72,3598.45,255357.13,34.50,25.60,114,525
0:23:14,294985.78,3120.57,225363.83,34.80,25.50,104,555
0:24:14,304173.78,3171.36,237179.50,34.40,25.40,106,389
0:25:15,366034.22,3357.04,231645.58,34.30,25.30,103,323
0:26:15,359457.34,3615.50,262895.91,34.00,25.40,101,354
0:27:16,428120.44,3630.57,260810.78,35.00,25.20,117,387
0:28:16,335237.88,3469.02,244782.61,35.60,25.10,106,349
0:29:17,372455.84,3230.92,246288.20,36.10,25.10,100,478
0:30:17,340290.09,3429.57,252771.61,35.10,25.10,97,415
0:31:18,379892.53,3469.02,242857.14,35.90,25.10,100,280
0:32:18,299514.16,3329.73,240948.28,35.60,25.10,105,454
0:33:19,351633.09,3607.77,253897.53,35.70,25.10,97,367
0:34:19,379892.53,3541.33,259775.27,35.80,25.10,100,331
0:35:20,445958.75,3742.33,260948.08,35.60,25.10,103,245
0:36:20,428120.44,3541.33,248684.22,35.50,25.00,102,466
0:37:21,303854.94,3191.85,233970.30,36.10,24.80,98,329
0:38:21,329656.06,3384.62,243817.78,35.60,24.90,98,323
0:39:22,359457.34,3497.72,240000.00,36.10,25.00,101,304
0:40:22,372455.84,3406.98,247264.78,36.20,25.00,99,360
0:41:23,353099.75,3440.60,250660.78,36.00,25.00,98,449
0:42:23,371683.91,3568.64,256375.84,36.30,25.00,105,372
0:43:24,318666.47,3365.35,230315.80,36.50,24.90,102,428
0:44:24,436857.59,3579.95,252212.38,36.10,25.00,99,309
0:45:25,346950.59,3275.91,232558.16,36.60,25.00,101,305
0:46:25,366034.22,3426.50,245751.64,35.90,25.10,96,446
0:47:26,359457.34,3398.51,249670.31,36.40,25.10,103,424
0:48:26,358338.69,3481.01,247368.42,36.30,25.10,99,421
0:49:27,294985.78,3329.73,240000.00,36.50,25.10,96,326
0:50:27,328968.56,3401.50,239139.78,36.80,25.10,101,450
0:51:28,340290.09,3486.58,247807.02,37.30,25.20,94,454
0:52:28,366034.22,3469.02,246724.89,37.00,25.30,104,458
0:53:29,335237.88,3483.33,241900.66,37.20,25.30,99,527
0:54:29,345868.63,3452.39,249339.20,37.10,25.20,101,390
0:55:30,318999.81,3384.62,234394.92,37.20,25.20,102,302
0:56:30,318999.81,3275.91,232558.16,37.10,25.30,96,485
0:57:31,340290.09,3457.93,246827.14,36.60,25.20,96,451
0:58:31,371683.91,3438.19,249339.20,37.30,25.30,90,332
0:59:32,379106.81,3415.50,239139.78,37.10,25.30,92,393
1:0:32,304173.78,3275.91,243817.78,37.10,25.20,89,312
1:1:33,387199.66,3512.18,248684.22,37.00,25.20,89,380
1:2:33,335237.88,3440.60,251655.63,37.60,25.00,89,338
1:3:34,304173.78,3108.02,230736.84,37.60,25.00,94,481
1:4:34,329656.06,3440.60,245751.64,36.50,25.10,96,400
1:5:35,299514.16,3262.62,243817.78,37.70,25.10,93,444
1:6:35,318999.81,3398.51,241900.66,37.30,25.10,96,349
1:7:36,346229.28,3530.10,252771.61,37.60,25.10,99,424
1:8:36,329656.06,3316.18,240000.00,37.90,25.20,98,321
1:9:37,324245.97,3236.23,232558.16,37.20,25.10,96,345
1:10:37,278079.91,3316.18,238115.63,36.50,25.20,102,400
1:11:37,262886.00,3289.27,238115.63,36.80,25.10,98,447
1:12:38,299514.16,3236.23,227139.89,37.10,25.20,100,381
1:13:38,294056.22,3424.06,243478.27,36.60,25.30,115,438
1:14:39,313910.28,3440.60,243817.78,36.80,25.30,92,291
1:15:39,329656.06,3440.60,246724.89,36.30,25.30,96,376
1:16:40,308970.44,3343.35,239055.80,36.30,25.40,98,300
1:17:40,266538.38,3133.18,224481.34,36.40,25.30,101,288
1:18:41,236689.61,3329.73,239055.80,35.60,25.40,98,428
1:19:41,262329.03,3148.10,220164.58,36.50,25.40,96,319
1:20:42,262886.00,3357.04,240948.28,34.80,25.40,97,324
1:21:42,313581.91,3421.00,238626.61,35.50,25.50,98,359
1:22:43,286301.25,3440.60,249670.31,35.60,25.50,93,355
1:23:43,294985.78,3357.04,240000.00,35.20,25.40,109,440
1:24:44,294985.78,3440.60,253658.52,35.00,25.40,109,349
1:25:44,324245.97,3454.77,250660.78,35.40,25.40,106,336
1:26:45,304173.78,3343.35,231645.58,35.00,25.40,106,390
1:27:45,318999.81,3236.23,234394.92,34.60,25.30,103,367
1:28:46,335237.88,3483.33,251655.63,35.00,25.40,107,299
1:29:46,351999.78,3509.92,253333.31,35.20,25.40,109,393
1:30:47,308970.44,3329.73,242857.14,34.90,25.30,110,434
1:31:47,274131.47,3384.62,241900.66,34.90,25.30,111,332
1:32:48,329656.06,3556.01,251655.63,35.40,25.40,107,355
1:33:48,290583.22,3440.60,242857.14,35.00,25.40,109,380
1:34:49,308646.91,3379.16,232135.33,34.90,25.40,107,451
1:35:49,308970.44,3357.04,241900.66,34.90,25.50,110,318
1:36:50,299514.16,3483.33,250660.78,35.50,25.50,109,308
1:37:50,294985.78,3483.33,237179.50,35.60,25.40,107,283
1:38:51,302579.56,3316.26,241648.58,35.80,25.40,104,372
1:39:51,262886.00,3343.35,241900.66,35.80,25.30,108,361
1:40:52,255851.78,3145.84,245751.64,35.70,25.40,109,332
1:41:52,313910.28,3426.50,239055.80,35.30,25.40,102,369
1:42:53,281837.72,3351.60,256249.98,35.20,25.30,103,330
1:43:53,340999.78,3526.72,255679.27,35.50,25.30,101,333
1:44:54,335237.88,3483.33,256696.41,36.00,25.30,95,336
1:45:54,359084.47,3521.12,254222.20,36.20,25.30,105,295
1:46:55,370140.06,3319.01,247577.09,36.40,25.30,99,352
1:47:55,329656.06,3316.18,244782.61,35.40,25.30,98,408
1:48:56,346950.59,3454.77,256696.41,35.80,25.30,100,349
