Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
0:0:31,61977.62,2528.15,169314.06,57.10,22.40,97,323
0:1:31,67402.39,2574.47,176383.75,57.00,22.40,101,148
0:2:32,71499.99,2564.33,174311.92,57.50,22.30,103,165
0:3:32,68385.54,2440.41,170652.16,57.50,22.40,106,282
0:4:32,69117.41,2528.15,174040.20,57.30,22.40,98,245
0:5:33,72563.02,2528.15,174725.27,57.60,22.40,100,206
0:6:33,76279.48,2558.14,177490.75,57.70,22.40,97,243
0:7:34,71385.89,2538.11,174725.27,57.60,22.40,104,310
0:8:34,77733.34,2534.18,174999.98,57.90,22.40,97,261
0:9:35,76279.48,2518.24,172677.58,57.80,22.40,99,291
0:10:35,77486.73,2543.46,173674.58,57.80,22.40,102,222
0:11:36,82679.07,2578.34,176795.58,57.90,22.40,103,253
0:12:36,74179.48,2548.10,174040.20,58.00,22.40,98,220
0:13:37,77584.08,2548.10,176102.92,57.90,22.40,102,332
0:14:37,85171.44,2558.14,176795.58,58.10,22.40,98,207
0:15:38,78026.68,2469.29,171324.84,58.30,22.40,100,165
0:16:38,85884.62,2554.24,177777.77,58.20,22.40,103,168
0:17:39,82859.82,2534.18,177777.77,58.40,22.40,99,217
0:18:39,78026.68,2548.10,174725.27,58.00,22.40,99,251
0:19:40,86724.64,2548.10,177490.75,58.10,22.40,101,256
0:20:40,83455.40,2469.85,173308.94,58.50,22.40,99,165
0:21:41,80767.13,2538.11,174040.20,58.10,22.40,101,220
0:22:41,85884.62,2564.33,179182.14,58.20,22.40,102,234
0:23:42,82679.07,2548.10,176795.58,58.70,22.40,103,243
0:24:42,82679.07,2488.75,173357.66,58.70,22.40,100,290
0:25:43,79378.39,2518.24,172677.58,58.10,22.40,98,217
0:26:43,79378.39,2508.37,174040.20,58.20,22.40,101,260
0:27:44,90530.00,2588.51,178188.52,58.20,22.40,100,247
0:28:44,81410.14,2564.33,177777.77,58.60,22.40,108,237
0:29:45,79378.39,2548.10,174725.27,58.40,22.40,107,212
0:30:45,84160.38,2568.22,177490.75,58.60,22.40,101,235
0:31:45,79378.39,2548.10,176102.92,59.30,22.30,102,214
0:32:46,81714.29,2568.22,177490.75,59.40,22.30,99,277
0:33:46,80300.01,2588.51,178188.52,59.40,22.30,99,189
0:34:47,79378.39,2619.27,179591.83,59.20,22.30,105,279
0:35:47,71891.20,2584.65,178478.66,59.70,22.20,102,249
0:36:48,68297.19,2583.83,176427.25,59.90,22.20,98,240
0:37:48,64561.54,2548.10,174040.20,59.70,22.20,102,188
0:38:49,67309.52,2608.97,177490.75,59.80,22.20,100,252
0:39:49,61665.43,2568.22,174040.20,59.90,22.10,97,210
0:40:50,61256.51,2595.72,177736.55,60.50,22.10,102,247
0:41:50,59840.00,2568.22,176102.92,60.60,22.10,99,236
0:42:51,63648.86,2605.14,179182.14,60.60,22.00,104,207
0:43:51,60439.56,2578.34,175412.84,59.90,22.00,102,194
0:44:52,63490.50,2594.03,177121.75,61.00,22.00,98,161
0:45:52,63900.76,2588.51,174040.20,60.60,21.90,100,195
0:46:53,61977.62,2598.72,175412.84,60.80,21.90,100,302
0:47:53,59840.00,2588.51,176102.92,61.20,21.90,101,191
0:48:54,59680.00,2630.54,180970.14,61.60,21.90,99,306
0:49:54,61665.43,2598.72,174725.27,61.70,21.80,99,182
0:50:55,62513.21,2606.01,178438.64,61.60,21.80,99,161
0:51:55,62928.30,2588.51,174725.27,61.10,21.80,100,163
0:52:56,59840.00,2598.72,175412.84,61.40,21.70,100,208
0:53:56,60642.07,2626.72,179850.73,61.90,21.70,100,163
0:54:57,61420.08,2615.45,177777.77,61.90,21.70,104,350
0:55:57,58956.84,2568.22,176102.92,61.90,21.70,103,267
0:56:58,60138.69,2588.51,175412.84,61.60,21.60,101,163
0:57:58,58378.58,2588.51,174040.20,62.10,21.60,101,163
0:58:58,57808.50,2598.72,177490.75,62.50,21.50,103,163
0:59:59,58719.43,2615.45,178478.66,62.40,21.50,107,189
1:0:59,55875.43,2588.51,174725.27,62.60,21.50,102,281
1:2:0,59010.84,2605.14,176383.75,62.80,21.50,103,202
1:3:0,56341.46,2604.27,175045.88,62.20,21.40,103,174
1:4:1,56418.11,2598.72,174725.27,62.60,21.40,103,188
1:5:1,57808.50,2608.97,176795.58,62.70,21.40,98,400
1:6:2,57293.28,2615.45,178478.66,63.00,21.40,98,210
1:7:2,56692.30,2608.97,174725.27,62.30,21.40,104,218
1:8:3,56145.83,2598.72,174040.20,62.80,21.30,100,213
1:9:3,56968.41,2619.27,172000.00,62.90,21.30,98,224
1:10:4,57808.50,2588.51,172000.00,62.30,21.30,102,328
1:11:4,56188.15,2594.87,174311.92,62.10,21.30,102,197
1:12:5,56145.83,2598.72,173357.66,62.60,21.30,101,219
1:13:5,58142.85,2584.65,175690.61,62.70,21.30,99,254
1:14:6,55875.43,2588.51,170652.16,62.40,21.20,102,236
1:15:6,58719.43,2646.65,177079.47,62.50,21.20,100,242
1:16:7,55875.43,2619.27,173357.66,63.30,21.20,99,261
1:17:7,55000.00,2624.89,172992.69,62.60,21.10,97,254
1:18:8,55340.20,2588.51,173357.66,62.60,21.10,100,240
1:19:8,57246.47,2629.61,174725.27,62.80,21.10,105,287
1:20:9,55875.43,2588.51,172677.58,63.10,21.10,104,300
1:21:9,57526.50,2629.61,173357.66,62.40,21.10,101,252
1:22:10,56418.11,2598.72,170652.16,62.60,21.00,97,221
1:23:10,55875.43,2588.51,171324.84,63.40,21.00,103,223
1:24:11,56145.83,2629.61,175412.84,63.00,21.00,104,306
1:25:11,55340.20,2588.51,170652.16,63.50,21.00,102,248
1:26:11,54587.03,2605.14,172262.77,63.60,20.90,101,219
1:27:12,56461.53,2646.65,174311.92,62.50,21.00,100,201
1:28:12,54216.95,2624.89,174358.97,63.80,21.00,104,264
1:29:13,54551.02,2629.61,172677.58,63.90,20.90,101,338
1:30:13,54142.37,2640.95,173308.94,64.30,20.90,99,322
1:31:14,53523.49,2619.27,172000.00,64.00,20.80,109,411
1:32:14,53270.90,2640.00,171324.84,64.30,20.90,103,232
1:33:15,52800.00,2615.45,173626.38,63.40,20.80,101,247
1:34:15,52032.89,2619.27,170652.16,64.20,20.80,99,213
1:35:16,52523.18,2608.97,172000.00,64.60,20.80,99,202
1:36:16,52032.89,2619.27,171324.84,64.00,20.80,102,208
1:37:17,52032.89,2598.72,169314.06,64.30,20.70,97,259
1:38:17,51071.43,2608.97,169314.06,64.40,20.80,99,162
1:39:18,52653.33,2616.34,172212.05,63.60,20.80,99,343
1:40:18,52873.33,2609.85,173992.67,64.40,20.70,102,174
1:41:19,53020.00,2608.97,169314.06,64.50,20.70,99,201
1:42:19,53020.00,2619.27,172677.58,64.50,20.70,102,277
1:43:20,53777.77,2598.72,172000.00,64.70,20.60,102,241
1:44:20,53703.70,2614.56,171636.36,64.60,20.70,98,212
1:45:21,52032.89,2608.97,171324.84,64.10,20.60,99,293
1:46:21,52059.41,2605.14,172943.31,64.50,20.60,100,164
1:47:22,51790.16,2608.97,169314.06,64.40,20.60,99,232
1:48:22,52032.89,2640.00,171324.84,64.40,20.60,99,263
1:49:23,52032.89,2619.27,171324.84,64.50,20.60,95,361
1:50:23,51333.33,2615.45,172943.31,65.30,20.50,100,330
1:51:23,52032.89,2640.00,172677.58,65.20,20.50,100,442
1:52:24,53918.64,2637.15,174264.70,65.30,20.50,101,178
1:53:24,53777.77,2650.43,173357.66,65.30,20.50,100,181
1:54:25,57857.64,2646.65,175690.61,65.10,20.40,100,467
1:55:25,56891.22,2624.89,172992.69,65.10,20.50,103,238
1:56:26,55606.89,2619.27,173357.66,64.80,20.40,103,255
1:57:26,57526.50,2598.72,172677.58,64.70,20.50,103,218
1:58:27,55075.34,2629.61,173357.66,64.20,20.40,103,265
1:59:27,55531.03,2624.89,175735.28,64.10,20.50,99,238
2:0:28,56615.38,2624.89,175735.28,64.80,20.50,101,167
2:1:28,59249.10,2629.61,174040.20,64.40,20.50,102,163
2:2:29,66869.56,2645.69,177121.75,63.60,20.40,103,178
2:3:29,78825.13,2687.83,182056.09,63.40,20.40,102,186
2:4:30,78026.68,2660.91,179591.83,62.40,20.40,98,162
2:5:30,81888.90,2688.89,182022.50,62.20,20.40,99,164
2:6:31,83661.98,2660.91,178188.52,62.40,20.40,97,181
2:7:31,86724.64,2629.61,180297.38,61.80,20.40,98,258
2:8:32,89415.84,2703.27,181005.59,60.80,20.50,101,194
2:9:32,82679.07,2682.00,180297.38,60.70,20.40,99,162
2:10:33,82194.45,2650.43,179591.83,61.90,20.50,101,165
2:11:33,85171.44,2703.27,184586.48,61.20,20.50,110,333
2:12:34,87252.43,2692.61,181716.44,61.60,20.40,102,235
2:13:34,80300.01,2682.00,178888.88,61.50,20.40,101,365
2:14:35,77292.05,2657.14,180597.00,61.70,20.50,100,199
2:15:35,82194.45,2682.00,181005.59,60.70,20.50,99,162
2:16:35,94611.40,2735.53,183864.92,60.80,20.50,102,266
2:17:36,89089.11,2710.28,184180.80,59.80,20.40,99,230
2:18:36,94383.41,2736.70,186742.44,60.50,20.40,99,162
2:19:37,94611.40,2703.27,181716.44,60.10,20.40,102,192
2:20:37,88323.52,2692.61,183146.09,59.80,20.40,101,202
2:21:38,84663.51,2682.00,177490.75,60.40,20.40,103,220
2:22:38,86201.92,2682.00,181005.59,59.70,20.40,102,183
2:23:39,105028.23,2752.42,187855.80,60.40,20.40,100,186
2:24:39,106712.63,2765.85,190038.31,59.50,20.40,102,174
2:25:40,100983.59,2724.73,185310.75,59.50,20.40,99,248
2:26:40,96452.63,2692.61,183864.92,59.70,20.30,100,262
2:27:41,99956.51,2731.87,185633.28,59.80,20.30,103,184
2:28:41,97712.76,2735.53,183864.92,59.80,20.30,98,161
2:29:42,95218.74,2703.27,181716.44,59.80,20.30,101,245
2:30:42,96452.63,2746.37,185310.75,59.70,20.30,99,257
2:31:43,94874.99,2721.05,184905.67,60.00,20.30,103,164
2:32:43,93189.74,2758.50,185283.03,59.20,20.30,102,251
2:33:44,85368.42,2721.05,184180.80,60.40,20.30,100,257
2:34:44,92826.52,2713.97,181716.44,60.60,20.30,97,223
2:35:45,90530.00,2703.27,181716.44,59.00,20.20,100,161
2:36:45,103363.11,2753.64,184905.67,59.50,20.20,100,348
2:37:46,118662.46,2768.21,185310.75,58.30,20.20,99,234
2:38:46,105028.23,2763.36,186389.42,58.00,20.20,101,213
2:39:47,95832.45,2757.27,187500.00,59.20,20.20,100,162
2:40:47,98352.93,2735.53,185310.75,59.50,20.20,101,163
2:41:47,98999.99,2735.53,186037.73,59.30,20.20,99,257
2:42:48,93415.38,2703.27,183146.09,59.50,20.10,98,438
2:43:48,96452.63,2713.97,182429.92,59.00,20.10,103,214
2:44:49,96846.55,2715.10,186011.36,59.60,20.10,103,261
2:45:49,107344.80,2790.24,188973.39,59.10,20.10,97,193
2:46:50,104779.64,2753.64,184905.67,58.70,20.10,100,276
2:47:50,98352.93,2724.73,182429.92,58.50,20.10,103,161
2:48:51,89415.84,2703.27,181716.44,59.60,20.10,111,314
2:49:51,90542.71,2765.85,186337.78,59.30,20.20,99,319
2:50:52,86405.80,2731.87,185633.28,60.40,20.10,101,197
2:51:52,93076.92,2764.60,186363.64,59.80,20.10,101,163
2:52:53,101296.69,2742.73,184905.67,59.80,20.10,99,272
2:53:53,95832.45,2724.73,181716.44,58.60,20.10,97,250
2:54:54,94010.30,2724.73,181005.59,59.20,20.10,97,251
2:55:54,90530.00,2713.97,178188.52,59.00,20.20,96,159
2:56:55,86724.64,2692.61,178888.88,58.90,20.20,102,210
2:57:55,88323.52,2724.73,184586.48,59.10,20.10,100,223
2:58:56,84857.15,2731.87,182022.50,59.70,20.10,97,201
2:59:56,82679.07,2713.97,182429.92,59.30,20.10,101,199
3:0:57,82372.09,2742.73,184905.67,59.50,20.10,106,261
3:1:57,83352.12,2731.87,182739.22,60.10,20.10,100,166
3:2:58,88541.87,2753.64,184180.80,58.90,20.10,99,184
