Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
0:0:29,56659.64,3321.67,260045.14,60.60,19.40,108,538
0:1:29,56968.41,3302.69,249670.31,60.70,19.50,95,535
0:2:30,56968.41,3316.18,249670.31,59.80,19.40,97,494
0:3:30,56145.83,3316.18,250660.78,60.30,19.50,92,483
0:4:31,55531.03,3310.78,255233.83,61.60,19.40,92,501
0:5:31,57526.50,3316.18,252654.84,60.40,19.50,94,578
0:6:32,55606.89,3302.69,247702.41,60.40,19.50,91,581
0:7:32,54291.52,3275.91,246724.89,60.00,19.40,111,671
0:8:33,55340.20,3302.69,245751.64,59.50,19.40,89,420
0:9:33,55340.20,3302.69,247702.41,59.50,19.50,93,882
0:10:34,55189.00,3305.39,249779.73,59.70,19.50,30135,30817
0:11:34,53777.77,3275.91,246724.89,59.60,19.50,84,588
0:12:35,57293.28,3340.74,257399.09,60.30,19.50,92,733
0:13:35,57857.64,3313.51,255357.13,60.40,19.50,98,736
0:14:36,56418.11,3289.27,250660.78,59.60,19.50,89,612
0:15:36,73364.40,3412.47,264999.97,61.10,19.50,86,496
0:16:37,64561.54,3289.27,249670.31,58.50,19.60,88,374
0:17:37,62679.25,3340.74,262585.00,59.00,19.60,95,636
0:18:38,64561.54,3357.04,262895.91,59.70,19.70,90,563
0:19:38,67139.45,3379.55,259142.20,60.20,19.70,86,346
0:20:39,70727.27,3382.09,264692.47,59.50,19.70,90,509
0:21:39,71385.89,3357.04,261851.02,59.40,19.70,88,648
0:22:40,68750.00,3357.04,261851.02,60.40,19.70,91,540
0:23:40,67665.34,3370.79,261851.02,60.60,19.70,93,618
0:24:40,65232.56,3316.18,256696.41,60.60,19.70,94,686
0:25:41,72563.02,3384.62,261851.02,60.60,19.70,88,455
0:26:41,72167.35,3316.18,255679.27,59.40,19.80,93,457
0:27:42,82194.45,3426.50,266059.22,59.20,19.80,90,451
0:28:42,81238.54,3384.62,263945.56,58.40,19.80,92,386
0:29:43,78026.68,3343.35,257718.13,58.00,19.80,88,472
0:30:43,78473.22,3384.62,267123.28,58.70,19.80,88,547
0:31:44,75852.19,3343.35,255679.27,58.90,19.80,97,531
0:32:44,71385.89,3343.35,266059.22,59.60,19.90,91,486
0:33:45,65571.98,3289.27,257718.13,60.70,19.90,102,639
0:34:45,65827.45,3357.32,258558.53,61.10,19.90,92,388
0:35:46,65232.56,3343.35,259775.27,59.70,19.90,88,558
0:36:46,61731.35,3313.51,256375.84,59.90,19.90,89,490
0:37:47,61355.56,3302.69,252654.84,59.70,19.90,85,414
0:38:47,61355.56,3329.73,252654.84,59.60,19.90,99,562
0:39:48,62609.02,3249.39,243817.78,59.40,19.90,84,456
0:40:48,60742.66,3289.27,255679.27,59.10,20.00,91,390
0:41:49,61665.43,3289.27,251655.63,59.80,20.00,91,539
0:42:49,62609.02,3329.73,259775.27,59.40,20.00,89,415
0:43:50,63900.76,3316.18,255679.27,59.40,20.00,89,492
0:44:50,64561.54,3262.62,247702.41,58.70,20.00,90,455
0:45:51,78473.22,3302.69,255679.27,58.00,20.00,87,458
0:46:51,78473.22,3302.69,246724.89,56.90,20.10,89,551
0:47:52,87252.43,3357.04,256696.41,57.20,20.10,95,665
0:48:52,108092.46,3343.35,250660.78,56.60,20.10,86,360
0:49:53,123199.95,3343.35,258744.38,55.70,20.10,88,328
0:50:53,165550.02,3469.02,266059.22,55.50,20.20,90,337
0:51:53,170359.00,3483.33,262895.91,55.20,20.20,84,343
0:52:54,194403.84,3497.72,267123.28,55.20,20.20,90,368
0:53:54,190320.77,3483.33,260810.78,55.10,20.30,86,457
0:54:55,200831.69,3497.72,272517.34,55.20,20.30,86,400
0:55:55,233749.95,3630.57,273611.13,55.10,20.30,89,394
0:56:56,236689.61,3570.77,280281.72,55.20,20.30,89,363
0:57:56,249156.56,3630.57,278037.41,55.20,20.30,91,381
0:58:57,233499.97,3535.71,277570.13,55.30,20.30,89,410
0:59:57,259324.92,3676.24,284834.13,55.00,20.30,85,328
1:0:58,294985.78,3801.60,296601.94,55.00,20.30,89,429
1:1:58,274131.47,3660.94,276923.09,55.40,20.30,87,401
1:2:59,308323.38,3789.87,289688.25,55.30,20.30,83,410
1:3:59,278079.91,3707.09,288305.50,55.60,20.20,86,434
1:5:0,294056.22,3720.84,282269.53,55.40,20.20,87,427
1:6:0,278079.91,3645.71,276923.09,55.00,20.20,92,483
1:7:1,277786.56,3655.21,282075.50,55.30,20.20,84,397
1:8:1,255851.78,3585.60,271428.59,55.20,20.20,84,441
1:9:2,262886.00,3615.50,273611.13,55.20,20.20,81,361
1:10:2,329656.06,3769.76,289473.72,55.30,20.20,85,400
1:11:3,278079.91,3676.24,282547.19,55.50,20.20,85,417
1:12:3,274131.47,3615.50,280281.72,55.70,20.20,85,591
1:13:4,242776.42,3585.60,276923.09,55.30,20.20,85,411
1:14:4,259049.92,3594.84,278688.53,55.40,20.20,87,409
1:15:5,274131.47,3600.52,278037.41,55.40,20.20,71,378
1:16:5,255851.78,3600.52,275813.97,55.30,20.20,84,364
1:17:6,233749.95,3556.01,283687.97,55.60,20.20,78,522
1:18:6,273842.00,3685.86,282075.50,55.90,20.20,82,411
1:19:6,274131.47,3630.57,273611.13,56.30,20.10,80,437
1:20:7,235930.98,3539.13,273317.88,56.00,20.10,84,498
1:21:7,233749.95,3497.72,268192.19,56.10,20.10,84,522
1:22:8,249156.56,3615.50,274710.00,55.90,20.10,80,702
1:23:8,249156.56,3630.57,281411.78,56.20,20.10,80,536
1:24:9,255851.78,3600.52,274710.00,56.60,20.10,80,343
1:25:9,266538.38,3630.57,271428.59,57.10,20.00,92,515
1:26:10,245928.52,3526.72,267123.28,56.70,20.00,86,495
1:27:10,236689.61,3556.01,267123.28,56.50,20.00,90,495
1:28:11,265692.22,3643.75,278873.25,56.70,20.00,87,465
1:29:11,276613.25,3647.52,285918.88,56.80,20.00,88,364
1:30:12,259324.92,3615.50,272517.34,56.70,19.90,87,445
1:31:12,239697.64,3556.01,272517.34,57.30,19.90,91,374
1:32:13,282135.03,3707.09,282547.19,57.40,19.90,96,376
1:33:13,274131.47,3600.52,273611.13,57.90,19.90,86,460
1:34:14,298571.28,3848.52,291566.28,57.60,19.80,95,347
1:35:14,262886.00,3541.33,274710.00,58.10,19.80,97,444
1:36:15,262886.00,3660.94,285985.75,57.60,19.80,92,537
1:37:15,262607.50,3535.71,274245.97,57.80,19.80,88,328
1:38:16,233749.95,3512.18,275813.97,57.70,19.80,93,344
1:39:16,239697.64,3585.60,275813.97,58.00,19.80,97,393
1:40:17,262886.00,3645.71,281411.78,57.90,19.80,90,413
1:41:17,270285.63,3615.50,279156.91,57.80,19.80,94,419
1:42:18,236689.61,3541.33,274710.00,58.00,19.80,92,449
