Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
0:0:26,127046.41,3556.01,251655.63,25.70,30.50,111,310
0:1:27,134291.70,3426.50,241900.66,25.70,30.50,102,254
0:2:27,135384.66,3630.57,255679.27,25.20,30.50,111,364
0:3:28,129047.02,3600.52,249670.31,25.50,30.50,103,376
0:4:28,129047.02,3660.94,257718.13,25.50,30.50,100,371
0:5:29,127046.41,3570.77,250660.78,25.50,30.50,118,368
0:6:29,128899.37,3640.00,256249.98,25.50,30.60,104,343
0:7:30,122269.19,3630.57,249670.31,25.40,30.60,103,437
0:8:30,142277.41,3769.76,259775.27,25.40,30.60,113,467
0:9:31,128040.05,3526.72,249670.31,25.40,30.60,97,322
0:10:31,131102.09,3600.52,249670.31,25.60,30.50,107,390
0:11:32,128751.72,3574.29,247807.02,25.70,30.50,108,425
0:12:32,121987.14,3574.29,252771.61,25.80,30.50,111,395
0:13:33,133213.84,3707.09,258744.38,25.70,30.50,107,459
0:14:33,123199.95,3440.60,238115.63,25.60,30.50,102,421
0:15:34,133986.16,3664.75,259909.89,25.40,30.50,104,288
0:16:34,138285.77,3628.57,266819.19,25.60,30.40,101,201
0:17:35,133213.84,3645.71,259775.27,25.50,30.40,100,432
0:18:35,143000.03,3720.84,265753.41,25.60,30.40,108,377
0:19:36,144548.19,3732.45,262443.41,25.60,30.40,105,428
0:20:36,131102.09,3526.72,244782.61,25.60,30.40,102,376
0:21:37,127893.38,3449.25,252212.38,25.50,30.40,109,493
0:22:37,130067.62,3691.62,266059.22,25.40,30.40,113,552
0:23:38,123199.95,3526.72,258744.38,25.70,30.40,112,553
0:24:38,139913.70,3817.65,269266.03,25.60,30.40,104,386
0:25:39,142277.41,3707.09,266059.22,25.70,30.30,103,434
0:26:39,145955.25,3676.24,255679.27,25.80,30.20,99,474
0:27:40,143323.56,3670.50,260360.34,26.00,30.20,106,323
0:28:40,155212.64,3691.62,260810.78,26.00,30.20,117,470
0:29:41,158048.03,3691.62,259775.27,26.00,30.10,107,383
0:30:41,171827.61,3748.15,263492.03,26.10,30.10,105,368
0:31:42,174649.14,3715.04,270669.72,26.20,30.10,99,285
0:32:42,160975.64,3753.97,261851.02,26.20,30.10,103,313
0:33:43,177168.16,3801.60,267123.28,26.30,30.10,105,394
0:34:43,177168.16,3801.60,269266.03,26.40,30.00,100,390
0:35:44,153828.16,3585.60,255679.27,26.40,30.00,104,185
0:36:44,136493.00,3600.52,253658.52,26.30,30.00,104,415
0:37:44,146721.84,3659.01,258426.95,26.40,30.10,129,354
0:38:45,143485.33,3691.62,261851.02,26.50,30.00,122,467
0:39:45,136493.00,3615.50,250660.78,26.60,30.00,99,369
0:40:46,134923.13,3598.45,256375.84,26.60,30.10,98,299
0:41:46,135384.66,3645.71,254666.64,26.50,30.10,99,376
0:42:47,128040.05,3615.50,253658.52,26.70,30.10,100,404
0:43:47,125631.53,3613.47,253333.31,26.70,30.10,97,519
0:44:48,118662.46,3556.01,248684.22,26.70,30.10,97,516
0:45:48,115231.68,3556.01,248684.22,26.70,30.10,97,416
0:46:49,120443.00,3600.52,248684.22,26.80,30.10,100,297
0:47:49,124142.81,3541.33,254666.64,26.80,30.10,101,421
0:48:50,128604.07,3674.35,255357.13,26.70,30.10,104,310
0:49:50,134291.70,3645.71,251655.63,26.60,30.00,101,480
0:50:51,132758.67,3643.75,255357.13,26.70,30.10,98,542
0:51:51,131102.09,3512.18,241900.66,26.70,30.10,99,344
0:52:52,147218.08,3676.24,256696.41,26.40,30.00,97,286
0:53:52,153312.53,3674.35,266819.19,26.40,29.90,98,279
0:54:53,178946.44,3785.64,266059.22,26.60,29.90,100,348
0:55:53,162475.44,3707.09,262895.91,26.80,29.80,104,490
0:56:54,155212.64,3660.94,256696.41,26.90,29.70,110,350
0:57:54,148500.03,3600.52,249670.31,26.80,29.80,93,412
0:58:55,137617.06,3497.72,246724.89,26.90,29.80,94,323
0:59:55,151123.11,3738.26,256696.41,26.70,29.80,178,557
1:0:56,153828.16,3630.57,255679.27,26.80,29.80,94,311
1:1:56,159500.03,3738.26,257718.13,26.60,29.70,99,481
1:2:57,159500.03,3676.24,257718.13,26.90,29.80,95,383
1:3:57,173130.47,3659.01,260496.61,26.90,29.70,94,461
1:4:58,158048.03,3676.24,256696.41,27.10,29.70,101,548
1:5:58,171827.61,3579.95,269885.03,27.00,29.70,103,429
1:6:59,202840.00,3811.76,266666.66,26.60,29.70,101,413
1:7:59,182600.02,3660.94,256696.41,26.90,29.60,105,434
1:9:0,194192.31,3732.45,260360.34,27.00,29.70,94,512
1:10:0,193557.69,3699.47,261085.95,26.90,29.60,100,537
1:11:1,185777.80,3720.84,259459.44,26.90,29.70,103,304
1:12:1,177168.16,3707.09,259775.27,27.00,29.60,110,411
1:13:2,180756.78,3722.63,257718.13,27.10,29.60,113,351
1:14:2,178160.73,3404.50,246929.83,27.10,29.60,102,484
1:15:3,210020.61,3801.60,263945.56,26.40,29.60,114,553
1:16:3,219999.98,3932.43,272517.34,27.00,29.50,107,578
1:17:4,236689.61,3833.78,267123.28,27.00,29.50,108,467
1:18:4,212437.48,3630.57,256696.41,27.00,29.40,113,389
1:19:5,266538.38,3932.43,278037.41,27.00,29.40,117,502
