Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
0:0:16,77928.90,2573.67,210441.75,25.80,30.00,114,422
0:1:16,75428.56,2479.00,193461.55,25.80,30.00,100,306
0:2:17,71774.99,2355.87,176102.92,25.90,30.00,102,296
0:3:17,63166.67,2148.94,161769.92,25.80,30.00,108,525
0:4:18,57246.47,2144.79,165357.14,26.00,30.00,98,269
0:5:18,59249.10,2346.67,188973.39,26.20,30.00,103,363
0:6:19,63250.00,2469.29,200391.39,26.30,30.00,103,494
0:7:19,62928.30,2469.29,198830.42,25.90,29.90,104,295
0:8:20,64138.46,2524.89,203168.31,26.20,30.00,104,418
0:9:20,62127.34,2548.84,210865.17,26.20,30.00,110,499
0:10:21,69861.22,2479.00,191954.03,26.00,29.90,104,360
0:11:21,62292.14,2374.39,188973.39,25.70,29.90,100,216
0:12:22,59840.00,2402.45,186767.50,26.00,29.90,98,385
0:13:22,51790.16,2283.27,181005.59,26.00,29.90,97,391
0:14:23,53777.77,2393.06,187500.00,26.60,29.90,102,588
0:15:23,53020.00,2383.71,187500.00,26.30,29.90,99,374
0:16:24,50834.95,2402.45,191204.61,26.40,29.90,99,318
0:17:24,52726.67,2480.17,196498.06,26.50,29.90,107,430
0:18:25,58378.58,2568.22,205952.38,26.40,29.90,117,579
0:19:25,58300.01,2563.56,206361.83,25.90,29.90,102,404
0:20:26,56145.83,2528.15,202755.91,26.10,29.90,105,336
0:21:26,59249.10,2588.51,205148.52,26.10,29.80,101,536
0:22:27,60661.77,2553.49,207984.03,25.90,29.80,105,577
0:23:27,58092.54,2528.15,199609.38,25.80,29.80,98,339
0:24:28,58378.58,2558.14,201964.64,25.90,29.80,95,374
0:25:28,59543.48,2518.24,201964.64,26.00,29.80,112,711
0:26:29,64895.75,2538.11,202755.91,25.90,29.80,102,379
0:27:29,61665.43,2488.75,198054.48,25.80,29.70,103,420
0:28:30,61355.56,2528.15,200391.39,25.90,29.80,100,525
0:29:30,61355.56,2538.11,199609.38,25.80,29.70,103,520
0:30:31,56145.83,2498.54,196511.64,26.00,29.80,96,447
0:31:31,57828.57,2535.59,203174.61,26.30,29.80,108,631
0:32:32,55075.34,2498.54,196511.64,26.20,29.80,99,400
0:33:32,53810.81,2465.28,195348.84,26.40,29.80,93,420
0:34:33,53993.22,2489.96,198825.84,26.50,29.70,96,483
0:35:33,54291.52,2374.39,179591.83,26.40,29.70,92,320
0:36:34,52523.18,2393.06,182429.92,26.20,29.70,93,365
0:37:34,50834.95,2430.86,186767.50,26.30,29.70,90,326
0:38:35,49675.16,2346.67,188235.31,26.50,29.70,90,564
0:39:35,51071.43,2459.63,193461.55,26.80,29.70,97,566
0:40:36,48996.85,2421.35,188973.39,26.70,29.70,92,418
0:41:36,50834.95,2469.29,194219.66,26.80,29.70,102,426
0:42:37,49447.62,2459.63,190458.02,26.80,29.70,124,575
0:43:37,49221.52,2421.35,187500.00,26.90,29.60,95,408
0:44:38,45383.23,2256.63,175412.84,27.00,29.60,96,474
0:45:38,46615.86,2383.71,185310.75,27.30,29.60,93,615
0:46:39,45383.23,2310.22,181005.59,27.30,29.60,93,451
0:47:39,45789.16,2365.11,187500.00,27.50,29.60,95,296
0:48:40,51549.02,2459.63,197281.56,27.40,29.60,101,469
0:49:40,53777.77,2488.75,198830.42,27.20,29.60,93,404
0:50:41,53270.90,2469.29,194219.66,27.20,29.50,116,556
0:51:41,57526.50,2488.75,199609.38,27.20,29.50,108,504
0:52:42,66606.30,2578.34,211670.00,27.10,29.50,103,559
0:53:42,59543.48,2488.75,197281.56,26.90,29.50,101,435
0:54:42,60036.63,2524.89,204771.38,27.20,29.40,113,491
0:55:43,58092.54,2508.37,202755.91,27.10,29.40,130,722
0:56:43,56968.41,2508.37,201964.64,27.20,29.40,105,357
0:57:44,56307.68,2524.89,202371.53,27.30,29.40,123,491
0:58:44,54849.31,2514.29,204761.91,27.40,29.30,104,447
0:59:45,52624.58,2469.85,197276.28,27.50,29.20,102,417
1:0:45,53777.77,2538.11,206759.44,27.60,29.20,112,501
1:1:46,56145.83,2538.11,201176.48,27.70,29.20,105,627
1:2:46,55875.43,2548.10,201176.48,27.80,29.10,103,390
1:3:47,56692.30,2528.15,201964.64,27.90,29.10,106,489
1:4:47,54812.29,2548.10,202755.91,28.00,29.00,104,407
1:5:48,55606.89,2578.34,205952.38,28.20,29.00,113,314
1:6:48,56145.83,2528.15,202755.91,27.90,28.90,103,571
1:7:49,52523.18,2402.45,188973.39,27.80,28.90,102,534
1:8:49,53197.32,2474.43,196124.05,28.40,29.00,107,478
1:9:50,51333.33,2455.60,195348.84,28.20,29.00,106,509
1:10:50,53020.00,2479.00,198054.48,28.40,29.00,103,436
1:11:51,53523.49,2469.29,197281.56,28.20,29.00,113,569
1:12:51,51309.45,2402.45,191204.61,28.20,29.00,97,481
1:13:52,48996.85,2383.71,193461.55,28.20,29.00,166,661
1:14:52,52770.76,2479.00,201964.64,28.40,29.10,105,286
1:15:53,53959.46,2464.73,201571.72,28.10,29.10,104,574
1:16:53,53302.01,2398.36,189312.98,28.00,29.10,103,628
1:17:54,53302.01,2445.96,196887.17,28.10,29.10,105,331
1:18:54,54812.29,2488.75,204347.81,28.00,29.10,111,405
1:19:55,54551.02,2469.29,196511.64,28.00,29.10,100,426
1:20:55,52032.89,2421.35,194219.66,27.90,29.10,108,277
1:21:56,52523.18,2459.63,199609.38,28.10,29.10,102,620
1:22:56,51309.45,2430.86,198054.48,28.20,29.10,106,668
1:23:57,51237.79,2474.43,198440.56,28.30,29.10,102,312
1:24:57,50134.61,2459.63,192706.33,28.30,29.10,116,632
1:25:58,51790.16,2479.00,200391.39,28.30,29.10,101,535
1:26:58,49447.62,2402.45,194219.66,28.20,29.00,104,490
1:27:59,50834.95,2469.29,194219.66,28.30,29.10,104,720
1:28:59,51333.33,2445.96,197660.83,28.00,29.10,106,515
1:30:0,48773.59,2393.06,190458.02,28.10,29.10,99,315
1:31:0,50366.56,2459.63,200391.39,28.10,29.10,104,350
1:32:1,49447.62,2402.45,192706.33,28.00,29.10,143,584
1:33:1,50529.03,2388.57,192322.45,28.30,29.00,114,346
1:34:2,51549.02,2402.45,191954.03,28.10,29.00,97,608
1:35:2,49904.16,2319.28,187500.00,28.10,29.10,103,416
1:36:3,47894.41,2301.20,186767.50,28.20,29.10,110,663
1:37:3,49168.26,2393.85,192678.23,28.40,29.10,102,391
1:38:4,50366.56,2421.35,196511.64,28.30,29.10,103,625
1:39:4,51309.45,2450.00,200391.39,28.30,29.10,101,500
1:40:5,51309.45,2450.00,197281.56,28.30,29.10,101,256
1:41:5,51237.79,2435.88,197665.38,28.30,29.10,105,519
1:42:6,53020.00,2498.54,203550.28,28.40,29.00,107,497
1:43:6,52770.76,2469.29,205952.38,28.40,29.00,102,539
1:44:7,53020.00,2498.54,201964.64,28.20,28.90,99,620
1:45:7,53523.49,2518.24,202755.91,28.20,28.90,107,489
1:46:8,52377.48,2479.58,201178.78,28.40,28.80,100,361
1:47:8,52032.89,2498.54,201964.64,28.50,28.80,100,379
1:48:9,47678.02,2144.79,178888.88,28.70,28.70,102,301
1:49:9,48635.22,2393.46,192692.33,28.60,28.70,132,556
1:50:10,48996.85,2440.41,196511.64,29.00,28.70,101,522
1:51:10,48331.25,2383.71,190458.02,29.10,28.70,151,580
1:52:11,48112.15,2421.35,197281.56,29.10,28.70,103,590
1:53:11,48331.25,2411.89,192706.33,29.10,28.70,99,353
1:54:12,49447.62,2450.00,200391.39,29.20,28.70,99,299
1:55:12,48996.85,2459.63,197281.56,29.20,28.70,100,478
1:56:13,50134.61,2488.75,201176.48,29.20,28.70,98,468
1:57:13,52277.23,2498.54,203550.28,29.20,28.60,101,663
1:58:14,55875.43,2528.15,209200.00,29.20,28.60,105,469
1:59:14,55606.89,2488.75,206759.44,29.20,28.50,99,652
2:0:15,56145.83,2558.14,215010.13,29.30,28.40,98,485
2:1:15,56692.30,2568.22,210843.36,29.40,28.40,104,539
2:2:16,57808.50,2558.14,210020.03,29.50,28.30,94,248
2:3:16,54291.52,2498.54,203550.28,29.70,28.20,98,381
2:4:17,56538.45,2528.84,211693.55,29.70,28.20,126,489
2:5:17,58092.54,2578.34,210020.03,29.60,28.20,100,459
2:6:18,60742.66,2578.34,214170.03,29.70,28.20,96,496
2:7:18,69117.41,2619.27,220987.63,29.70,28.20,98,490
2:8:19,71774.99,2619.27,215010.13,29.70,28.10,96,538
2:9:19,70237.70,2619.27,215853.64,29.80,28.00,94,457
2:10:20,73364.40,2608.97,214170.03,29.90,28.00,96,308
2:11:20,69861.22,2518.24,213333.31,30.00,28.00,94,494
2:12:21,69117.41,2598.72,213333.31,29.60,27.90,96,648
2:13:21,75428.56,2578.34,216700.59,29.70,27.90,93,325
2:14:22,84663.51,2640.00,217551.02,29.60,27.90,96,487
2:15:22,76279.48,2598.72,216700.59,29.70,27.90,104,527
2:16:23,70237.70,2578.34,211670.00,29.80,27.80,108,534
2:17:23,70617.27,2588.51,215010.13,29.90,27.80,93,386
2:18:24,66606.30,2548.10,212500.00,29.90,27.90,97,603
2:19:24,66258.83,2528.15,210843.36,30.00,27.90,92,465
2:20:25,65914.06,2548.10,207569.72,29.70,27.90,99,430
2:21:25,68750.00,2588.51,215010.13,29.70,27.90,95,360
2:22:26,63250.00,2538.11,207569.72,29.80,27.90,102,304
2:23:26,62292.14,2518.24,208383.23,30.00,28.00,92,396
2:24:27,61665.43,2538.11,209200.00,30.00,28.00,119,686
2:25:27,58666.68,2479.00,204347.81,30.00,28.00,100,629
2:26:28,60058.40,2553.49,210441.75,30.00,28.00,106,331
2:27:28,61047.98,2528.15,208383.23,29.90,28.00,115,761
2:28:29,64229.88,2558.14,210020.03,29.70,28.00,102,30380
2:29:29,67665.34,2608.97,213333.31,29.50,28.00,100,459
2:30:30,78026.68,2629.61,221855.70,29.30,28.10,99,551
2:31:30,78473.22,2619.27,219262.27,29.10,28.00,99,425
2:32:31,90530.00,2682.00,225363.83,29.10,28.00,110,306
2:33:31,95717.27,2677.22,218852.44,29.10,28.00,107,515
2:34:32,95218.74,2703.27,225363.83,28.80,27.90,176,457
2:35:32,106605.70,2735.53,228930.83,28.80,27.90,112,351
2:36:32,100502.72,2705.47,222821.55,28.70,27.90,98,317
2:37:33,93415.38,2660.91,224481.34,28.80,27.80,98,261
2:38:33,93415.38,2619.27,216700.59,28.90,27.90,103,298
2:39:34,91095.48,2650.43,218404.89,28.90,27.80,107,467
2:40:34,95486.90,2678.26,221487.59,28.80,27.90,106,292
2:41:35,99654.04,2703.27,228033.48,28.90,27.90,103,585
2:42:35,109356.70,2725.88,223651.47,28.80,27.90,102,409
2:43:36,106605.70,2692.61,221855.70,28.60,27.90,105,479
2:44:36,111041.40,2666.67,220576.11,28.70,27.90,112,637
2:45:37,115231.68,2724.73,226250.00,28.60,27.90,93,368
