Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
0:0:18,60138.69,2355.87,190458.02,26.80,31.00,133,598
0:1:19,60560.89,2403.70,191153.86,27.30,31.00,106,518
0:2:19,57779.35,2310.66,184528.31,27.20,31.00,111,440
0:3:20,55340.20,2274.35,186767.50,27.60,31.00,101,352
0:4:20,53777.77,2283.27,184586.48,27.40,31.00,102,302
0:5:21,52770.76,2265.48,181005.59,27.60,31.00,107,315
0:6:21,54216.95,2333.06,189333.34,27.90,31.00,101,611
0:7:22,52277.23,2310.22,181005.59,27.40,31.00,102,366
0:8:22,54812.29,2383.71,193461.55,27.50,31.00,98,291
0:9:23,52523.18,2310.22,183864.92,27.30,31.00,117,398
0:10:23,51790.16,2310.22,181005.59,27.60,31.00,101,342
0:11:24,55606.89,2440.41,190458.02,27.50,31.00,108,407
0:12:24,54326.53,2370.26,188571.44,27.00,31.00,100,313
0:13:25,53523.49,2346.67,187500.00,27.30,31.00,101,492
0:14:25,61355.56,2459.63,196511.64,27.40,31.00,104,266
0:15:26,60439.56,2393.06,191954.03,26.60,30.90,106,420
0:16:26,59543.48,2365.11,188973.39,26.70,30.90,106,351
0:17:27,61731.35,2445.96,194584.14,26.80,30.90,131,596
0:18:27,59010.84,2370.26,193063.58,26.70,30.90,100,554
0:19:28,54291.52,2301.20,184586.48,27.10,30.80,100,318
0:20:28,54551.02,2319.28,182429.92,27.50,30.80,97,423
0:21:29,53993.22,2301.61,182363.98,27.40,30.80,100,355
0:22:29,52204.62,2278.88,181343.31,27.40,30.80,100,380
0:23:30,60439.56,2450.00,195744.69,27.50,30.80,103,387
0:24:30,58956.84,2411.89,190458.02,26.70,30.80,100,426
0:25:31,56692.30,2346.67,188235.31,26.90,30.80,102,438
0:26:31,55647.05,2306.02,184180.80,27.30,30.80,112,494
0:27:32,56384.61,2365.78,187452.48,27.40,30.80,98,409
0:28:32,51071.43,2247.83,182429.92,27.20,30.80,98,589
0:29:33,51790.16,2310.22,182429.92,27.80,30.80,132,679
0:30:33,65828.13,2493.95,200000.02,27.50,30.80,103,434
0:31:34,59600.00,2351.72,186363.64,26.70,30.80,106,402
0:32:34,60580.89,2393.46,189694.66,27.30,30.80,96,641
0:33:35,65571.98,2450.00,191204.61,26.90,30.80,103,501
0:34:35,73084.73,2494.56,196887.17,26.80,30.80,102,440
0:35:36,72563.02,2469.29,194980.70,26.70,30.80,98,510
0:36:36,76087.32,2518.91,200392.16,26.80,30.80,93,430
0:37:37,67847.99,2402.87,191187.75,26.70,30.80,98,543
0:38:37,68023.99,2450.00,194219.66,27.10,30.70,102,455
0:39:38,73897.43,2534.18,198437.50,26.90,30.70,100,608
0:40:38,68750.00,2488.75,194980.70,26.70,30.70,96,397
0:41:39,58092.54,2337.50,183864.92,26.80,30.70,92,346
0:42:39,63900.76,2440.41,197281.56,27.30,30.70,90,363
0:43:40,67759.99,2484.76,198437.50,26.80,30.70,100,515
0:44:40,64891.47,2470.42,193436.30,26.80,30.70,94,393
0:45:41,61977.62,2421.35,191954.03,26.90,30.70,100,442
0:46:41,57293.28,2360.98,186363.64,27.10,30.70,102,391
0:47:42,58092.54,2365.11,188973.39,27.30,30.70,96,400
0:48:42,58430.10,2407.80,190057.38,27.30,30.70,96,341
0:49:43,59543.48,2411.89,193461.55,27.10,30.70,106,723
0:50:43,58378.58,2383.71,186037.73,27.00,30.70,108,384
0:51:44,58142.85,2370.26,188571.44,27.10,30.70,100,510
0:52:44,53523.49,2301.20,180297.38,27.30,30.70,98,313
0:53:45,51333.33,2270.12,179888.27,27.70,30.70,101,368
0:54:45,53020.00,2355.87,186037.73,27.80,30.70,103,356
0:55:46,54551.02,2374.39,186767.50,27.60,30.70,113,419
0:56:46,53523.49,2319.28,183864.92,27.30,30.70,106,388
0:57:47,55113.40,2379.59,187832.72,27.50,30.70,108,358
0:58:47,57526.50,2319.28,186767.50,27.30,30.80,107,342
0:59:48,59840.00,2365.11,186037.73,27.30,30.70,111,312
1:0:48,58430.10,2333.33,186363.64,27.30,30.80,108,366
1:1:49,60138.69,2383.71,193461.55,27.60,30.70,112,254
1:2:49,56692.30,2301.20,183864.92,27.30,30.80,101,466
1:3:50,61355.56,2374.39,191954.03,27.50,30.80,111,276
1:4:50,69117.41,2479.00,192706.33,27.10,30.80,107,233
1:5:51,62609.02,2337.50,187500.00,27.00,30.70,102,467
1:6:51,73770.20,2488.75,196511.64,27.50,30.70,104,225
1:7:52,65914.06,2383.71,188973.39,26.90,30.70,118,448
1:8:52,65232.56,2365.11,187500.00,27.30,30.70,113,328
1:9:53,60439.56,2292.22,184586.48,27.30,30.70,109,416
1:10:53,71385.89,2450.00,194980.70,27.60,30.80,106,431
1:11:54,78473.22,2469.29,194980.70,27.20,30.70,104,423
1:12:54,66172.55,2314.86,187855.80,27.10,30.70,103,426
1:13:55,74592.27,2450.00,196511.64,27.70,30.70,110,395
1:14:55,67665.34,2328.37,191954.03,27.20,30.70,109,375
1:15:56,72075.30,2388.57,191570.89,27.50,30.70,126,481
1:16:56,77145.38,2479.00,198830.42,27.40,30.70,110,385
1:17:57,86201.92,2518.24,203550.28,27.20,30.70,98,368
1:18:57,74592.27,2365.11,189714.30,27.10,30.60,106,493
1:19:58,85171.44,2528.15,198830.42,27.60,30.60,109,378
1:20:58,80300.01,2440.41,196511.64,27.10,30.60,98,502
1:21:59,75756.52,2435.88,196124.05,27.50,30.60,103,229
1:22:59,68385.54,2310.22,183146.09,27.40,30.60,108,408
1:24:0,70617.27,2337.50,183864.92,27.80,30.60,107,408
1:25:0,69861.22,2355.87,192706.33,27.70,30.60,99,440
1:26:1,71774.99,2430.86,195744.69,27.80,30.60,107,222
1:27:1,87785.36,2538.11,198830.42,27.40,30.70,106,288
1:28:2,94010.30,2548.10,203550.28,27.00,30.60,102,260
1:29:2,86618.36,2464.73,199218.75,27.20,30.60,107,230
1:30:3,73364.40,2374.39,191204.61,27.50,30.60,104,368
1:31:3,74592.27,2402.45,194219.66,27.60,30.60,103,301
1:32:4,63900.76,2247.83,181716.44,27.50,30.60,113,440
1:33:4,71774.99,2393.06,194980.70,28.10,30.60,109,311
1:34:5,69861.22,2374.39,191204.61,27.60,30.60,107,293
1:35:5,72167.35,2440.41,194980.70,27.70,30.60,106,321
1:36:6,76279.48,2450.00,193461.55,27.60,30.60,107,276
1:37:6,88866.99,2538.11,205148.52,27.50,30.60,101,456
1:38:7,82194.45,2421.35,193461.55,27.20,30.60,103,484
1:39:7,68023.99,2292.22,186767.50,27.40,30.60,112,370
1:40:8,65232.56,2301.20,186767.50,28.00,30.60,104,374
1:41:8,69117.41,2365.11,196511.64,28.00,30.60,107,288
1:42:9,77292.05,2514.29,199217.23,27.80,30.60,105,419
1:43:9,74592.27,2488.75,199609.38,27.40,30.60,106,318
1:44:10,72167.35,2498.54,195744.69,27.40,30.60,105,291
1:45:10,76183.41,2493.95,199218.75,27.50,30.50,99,465
1:46:11,70999.99,2440.41,194219.66,27.50,30.40,103,260
1:47:11,72563.02,2469.29,195744.69,27.70,30.40,106,272
1:48:12,72563.02,2498.54,196511.64,27.60,30.40,108,374
1:49:12,65828.13,2369.92,191570.89,27.60,30.30,103,326
1:50:13,60439.56,2328.37,186037.73,28.10,30.40,101,318
1:51:13,67309.52,2440.41,196511.64,28.20,30.40,102,328
1:52:14,76951.55,2509.01,200392.16,27.80,30.30,121,485
1:53:14,80200.01,2493.95,200000.02,27.60,30.40,102,511
1:54:15,67577.69,2323.94,187855.80,27.70,30.40,101,323
1:55:15,65315.18,2360.98,189312.98,28.20,30.40,101,288
1:56:16,66258.83,2402.45,189714.30,28.10,30.40,128,427
1:57:16,61977.62,2319.28,185310.75,28.00,30.40,99,306
1:58:17,68023.99,2459.63,195744.69,28.30,30.40,109,448
1:59:17,78026.68,2518.24,198830.42,27.70,30.40,107,374
2:0:18,69487.80,2374.39,189714.30,27.60,30.40,114,398
2:1:18,71385.89,2469.29,196511.64,28.10,30.40,99,317
2:2:19,81990.75,2509.01,200392.16,27.80,30.30,102,474
