Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
23/2/18-0:0:51,131,97,199,54,8,3,31.00,25.00,3,4,5
23/2/18-0:1:52,132,97,192,51,10,3,32.00,25.00,3,4,5
23/2/18-0:2:53,130,98,208,55,8,0,32.00,25.00,3,6,8
23/2/18-0:3:54,130,92,195,48,6,3,32.00,25.00,3,6,8
23/2/18-0:4:55,129,99,225,62,7,2,32.00,25.00,3,5,7
23/2/18-0:5:56,131,98,197,55,8,3,32.00,25.00,3,5,7
23/2/18-0:6:57,129,98,238,66,8,3,32.00,25.00,4,7,7
23/2/18-0:7:58,130,94,196,55,7,2,32.00,25.00,4,7,7
23/2/18-0:8:59,131,99,191,54,8,2,32.00,25.00,3,5,6
23/2/18-0:10:0,129,99,199,60,7,1,32.00,25.00,3,5,6
23/2/18-0:11:1,131,100,211,79,7,2,32.00,25.00,3,4,7
23/2/18-0:12:2,128,93,230,58,9,3,32.00,25.00,3,4,7
23/2/18-0:13:3,130,99,229,80,10,1,32.00,25.00,3,4,6
23/2/18-0:14:4,130,103,239,64,9,3,32.00,25.00,3,4,6
23/2/18-0:15:5,131,99,185,60,8,2,32.00,26.00,4,5,6
23/2/18-0:16:6,130,95,189,53,8,2,32.00,26.00,4,5,6
23/2/18-0:17:7,130,99,199,60,10,2,32.00,26.00,5,6,7
23/2/18-0:18:8,130,99,217,65,12,1,32.00,25.00,5,6,7
23/2/18-0:19:9,130,99,234,79,12,3,32.00,25.00,3,6,6
23/2/18-0:20:10,129,95,204,50,10,3,32.00,25.00,4,7,7
23/2/18-0:21:11,131,101,208,58,11,3,32.00,25.00,4,6,6
23/2/18-0:22:12,130,97,258,99,11,1,32.00,25.00,4,5,5
23/2/18-0:23:13,129,100,245,112,11,1,32.00,25.00,4,6,8
23/2/18-0:24:14,129,95,216,52,9,3,32.00,25.00,4,6,8
23/2/18-0:25:15,131,98,250,98,13,3,32.00,25.00,4,5,5
23/2/18-0:26:16,133,99,227,96,14,2,32.00,25.00,4,5,5
23/2/18-0:27:17,128,100,194,59,12,1,32.00,25.00,5,6,6
23/2/18-0:28:18,131,94,208,61,13,3,32.00,25.00,5,6,6
23/2/18-0:29:19,129,100,206,60,12,1,32.00,25.00,4,9,10
