Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
22/2/18-0:0:53,846,440,503,57.60,23.90,9.20,24.50
22/2/18-0:1:54,847,448,508,57.90,23.90,8.80,26.30
22/2/18-0:2:55,847,442,500,57.60,23.90,9.30,23.70
22/2/18-0:3:56,847,436,498,58.80,23.90,9.10,23.80
22/2/18-0:4:57,847,434,499,56.80,23.80,9.50,22.70
22/2/18-0:5:58,847,437,499,56.00,23.80,8.60,26.20
22/2/18-0:6:59,847,439,497,56.00,23.80,9.10,24.00
22/2/18-0:8:0,847,440,499,57.90,23.80,8.90,24.00
22/2/18-0:9:1,847,439,496,57.40,23.80,9.20,28.10
22/2/18-0:10:2,847,436,493,57.20,23.80,8.90,28.20
22/2/18-0:11:3,847,436,494,59.40,23.70,8.60,23.30
22/2/18-0:12:4,846,430,491,58.30,23.70,9.80,33.20
22/2/18-0:13:5,847,433,491,55.80,23.70,9.10,31.40
22/2/18-0:14:6,847,430,490,57.40,23.60,8.10,23.00
22/2/18-0:15:7,847,427,489,55.80,23.60,8.10,24.10
22/2/18-0:16:8,847,421,487,55.30,23.60,7.60,24.90
22/2/18-0:17:9,846,427,491,55.70,23.50,7.80,27.00
22/2/18-0:18:10,847,421,488,57.80,23.50,8.00,27.50
22/2/18-0:19:11,847,425,490,56.30,23.50,8.50,23.70
22/2/18-0:20:12,847,427,486,56.60,23.40,8.00,34.70
22/2/18-0:21:13,847,422,488,57.30,23.40,7.70,29.80
22/2/18-0:22:14,847,427,486,56.20,23.40,8.90,25.90
22/2/18-0:23:15,847,429,486,56.50,23.40,8.70,25.70
22/2/18-0:24:16,847,431,486,56.70,23.40,8.30,27.00
22/2/18-0:25:17,847,429,486,57.70,23.40,8.70,29.60
22/2/18-0:26:18,847,432,490,57.80,23.30,7.70,18.80
22/2/18-0:27:19,847,434,488,58.00,23.30,7.90,25.70
22/2/18-0:28:20,847,436,488,58.50,23.30,8.50,30.90
22/2/18-0:29:21,847,439,488,58.80,23.30,8.60,29.60
22/2/18-0:30:22,847,438,489,59.10,23.20,8.20,26.00
22/2/18-0:31:23,847,434,486,59.80,23.20,9.60,29.90
22/2/18-0:32:24,847,437,489,59.50,23.20,8.00,23.20
22/2/18-0:33:25,846,436,487,58.90,23.20,8.50,29.10
22/2/18-0:34:26,847,438,488,59.60,23.10,8.80,22.50
22/2/18-0:35:27,847,442,490,58.10,23.10,8.40,24.60
22/2/18-0:36:28,847,437,487,58.00,23.10,10.10,28.40
22/2/18-0:37:29,847,440,487,58.60,23.10,8.90,26.10
22/2/18-0:38:30,847,440,486,58.40,23.10,8.90,25.60
