Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
25/2/18-0:0:55,848,392,460,82.70,18.80,14.10,20.50
25/2/18-0:1:56,847,394,461,79.50,18.80,13.00,16.60
25/2/18-0:2:57,847,394,461,82.10,18.80,13.30,22.50
25/2/18-0:3:58,848,390,461,81.10,18.80,13.60,18.70
25/2/18-0:4:59,848,392,465,79.60,18.80,13.50,19.30
25/2/18-0:6:0,848,388,460,79.20,18.90,14.30,21.80
25/2/18-0:7:1,847,392,462,80.70,18.80,13.20,18.20
25/2/18-0:8:2,848,395,457,79.60,18.90,13.40,23.00
25/2/18-0:9:3,848,393,459,80.10,18.80,13.40,17.90
25/2/18-0:10:4,847,395,460,81.40,18.80,13.70,20.00
25/2/18-0:11:5,848,398,462,79.20,18.80,12.90,20.60
25/2/18-0:12:6,849,401,466,79.80,18.80,13.60,24.50
25/2/18-0:13:7,848,398,465,81.60,18.80,14.80,21.60
25/2/18-0:14:8,847,400,472,79.70,18.90,14.40,19.20
25/2/18-0:15:9,847,396,466,80.80,18.80,15.70,21.70
25/2/18-0:16:10,848,398,466,81.50,18.90,17.60,27.40
25/2/18-0:17:11,848,397,468,81.90,18.90,18.10,23.50
25/2/18-0:18:12,847,397,467,80.30,18.90,18.00,24.50
25/2/18-0:19:13,848,397,468,81.70,18.90,17.40,22.60
25/2/18-0:20:14,847,399,466,78.90,18.90,18.70,25.70
25/2/18-0:21:15,847,397,465,81.80,18.90,18.70,27.70
25/2/18-0:22:15,848,395,467,80.90,18.90,17.50,22.60
25/2/18-0:23:16,847,399,468,81.40,18.90,16.10,23.20
25/2/18-0:24:17,847,397,466,80.30,19.00,16.50,21.70
25/2/18-0:25:18,847,398,465,81.60,19.00,16.20,20.60
25/2/18-0:26:19,848,392,461,81.60,19.00,15.50,19.10
25/2/18-0:27:20,847,393,462,82.10,18.90,16.00,21.20
25/2/18-0:28:21,847,395,464,80.50,19.00,15.90,21.60
25/2/18-0:29:22,847,396,463,81.00,19.00,16.10,24.20
25/2/18-0:30:23,848,393,465,79.80,18.90,15.80,21.30
25/2/18-0:31:24,847,394,462,80.70,18.90,15.70,21.90
25/2/18-0:32:25,847,398,463,80.60,18.90,14.80,19.60
25/2/18-0:33:26,847,400,465,81.10,18.90,15.80,22.60
25/2/18-0:34:27,847,402,467,80.60,18.80,14.80,21.00
25/2/18-0:35:28,848,400,464,80.10,18.80,16.10,20.80
25/2/18-0:36:29,847,402,469,81.10,18.80,15.50,19.70
25/2/18-0:37:30,848,399,466,81.40,18.80,14.90,21.40
25/2/18-0:38:31,847,400,467,81.70,18.80,14.50,20.40
25/2/18-0:39:32,847,399,467,82.40,18.80,14.40,20.70
25/2/18-0:40:33,847,399,464,82.20,18.90,13.60,18.30
25/2/18-0:41:34,847,394,463,80.80,18.90,12.90,16.20
25/2/18-0:42:35,848,393,466,81.10,18.80,13.10,23.20
25/2/18-0:43:36,848,388,460,79.80,18.80,12.00,18.00
25/2/18-0:44:37,847,391,467,81.10,18.80,12.20,16.70
25/2/18-0:45:38,848,386,463,81.50,18.80,12.00,17.20
25/2/18-0:46:39,848,388,465,81.50,18.80,11.70,17.50
25/2/18-0:47:40,848,388,458,81.40,18.80,11.40,16.10
25/2/18-0:48:41,848,385,458,81.40,18.80,10.50,13.10
25/2/18-0:49:42,847,383,456,79.80,18.70,11.10,16.30
25/2/18-0:50:43,847,387,457,81.00,18.70,11.10,14.80
25/2/18-0:51:44,848,385,452,81.30,18.70,10.80,15.20
25/2/18-0:52:45,848,385,456,82.40,18.70,10.90,15.10
25/2/18-0:53:46,847,383,452,80.40,18.70,10.20,13.90
25/2/18-0:54:47,848,384,454,80.00,18.70,11.20,15.50
25/2/18-0:55:48,847,382,452,80.50,18.70,10.30,16.50
25/2/18-0:56:49,847,385,451,78.70,18.60,9.70,13.90
25/2/18-0:57:50,848,381,448,80.60,18.60,9.70,14.10
25/2/18-0:58:51,848,383,453,80.80,18.60,9.20,11.80
25/2/18-0:59:52,847,383,451,81.10,18.60,8.80,13.00
25/2/18-1:0:53,848,378,449,79.50,18.60,8.60,9.50
25/2/18-1:1:54,848,375,446,80.40,18.50,8.50,9.60
25/2/18-1:2:55,847,373,442,80.00,18.60,8.80,13.50
25/2/18-1:3:56,847,367,440,79.30,18.50,8.60,10.40
25/2/18-1:4:57,848,370,444,80.20,18.50,8.10,11.40
25/2/18-1:5:57,848,367,441,79.40,18.50,8.40,11.10
25/2/18-1:6:58,848,364,441,79.40,18.50,8.40,9.60
25/2/18-1:7:59,848,362,442,79.80,18.50,8.30,13.00
25/2/18-1:9:0,847,366,444,80.50,18.50,8.00,15.10
