FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
22012018     0  26.1   78  1005.8  110    6     AEROPARQUE AERO                                     
22012018     1  25.6   78  1005.5  110   13     AEROPARQUE AERO                                     
22012018     2  26.3   66  1005.1   70   13     AEROPARQUE AERO                                     
22012018     3  25.8   70  1004.8   20    9     AEROPARQUE AERO                                     
22012018     4  25.0   74  1004.6  360    6     AEROPARQUE AERO                                     
22012018     5  24.8   78  1004.7  360    4     AEROPARQUE AERO                                     
22012018     6  24.2   82  1005.4  320    4     AEROPARQUE AERO                                     
22012018     7  24.5   77  1005.3  290    6     AEROPARQUE AERO                                     
22012018     8  25.8   75  1005.4   50    7     AEROPARQUE AERO                                     
22012018     9  26.2   79  1005.5   70    7     AEROPARQUE AERO                                     
22012018    10  26.9   75  1005.4   70    9     AEROPARQUE AERO                                     
22012018    11  27.5   77  1005.2   70   13     AEROPARQUE AERO                                     
22012018    12  26.9   81  1005.0   70   15     AEROPARQUE AERO                                     
22012018    13  28.3   72  1004.3   70   15     AEROPARQUE AERO                                     
22012018    14  27.1   76  1004.3   90   19     AEROPARQUE AERO                                     
22012018    15  26.1   80  1003.9  110   22     AEROPARQUE AERO                                     
22012018    16  26.0   82  1003.1  110   26     AEROPARQUE AERO                                     
22012018    17  26.4   78  1003.2   90   20     AEROPARQUE AERO                                     
22012018    18  27.4   74  1001.7   90   26     AEROPARQUE AERO                                     
22012018    19  26.0   76  1002.1   90   19     AEROPARQUE AERO                                     
22012018    20  26.0   76  1002.8  110   19     AEROPARQUE AERO                                     
22012018    21  25.7   77  1003.2  110   20     AEROPARQUE AERO                                     
22012018    22  26.1   74  1004.8  140   13     AEROPARQUE AERO                                     
22012018    23  25.5   71  1004.4  140   13     AEROPARQUE AERO                                     
22012018     0  21.6   87  1006.5   70    6     AZUL AERO                                           
22012018     1  21.0   93  1006.2  140    4     AZUL AERO                                           
22012018     2  20.0   93  1005.6   70    9     AZUL AERO                                           
22012018     3  19.6   96  1005.2   90    6     AZUL AERO                                           
22012018     4  18.6   97  1005.1   90    6     AZUL AERO                                           
22012018     5  19.4  100  1005.0   90    6     AZUL AERO                                           
22012018     6  20.2  100  1005.0   90    7     AZUL AERO                                           
22012018     7  20.4  100  1005.3   50    7     AZUL AERO                                           
22012018     8  20.8   99  1005.8   50    6     AZUL AERO                                           
22012018     9  22.6   88  1005.9   90    7     AZUL AERO                                           
22012018    10  24.0   77  1005.4   20    7     AZUL AERO                                           
22012018    11  25.4   73  1005.0   50    6     AZUL AERO                                           
22012018    12  27.4   63  1004.6  320    7     AZUL AERO                                           
22012018    13  29.8   56  1003.8   50    9     AZUL AERO                                           
22012018    14  31.2   47  1003.0  140    9     AZUL AERO                                           
22012018    15  31.2   46  1002.2   50   13     AZUL AERO                                           
22012018    16  30.2   38  1002.5   50    9     AZUL AERO                                           
22012018    17  23.0   67  1003.3  270   17     AZUL AERO                                           
22012018    18  24.0   66  1002.0  270   11     AZUL AERO                                           
22012018    19  23.4   74  1001.8   50    6     AZUL AERO                                           
22012018    20  22.8   65  1004.0   50   20     AZUL AERO                                           
22012018    21  20.2   80  1003.4   20   13     AZUL AERO                                           
22012018    22  20.4   80  1003.6   50   11     AZUL AERO                                           
22012018    23  21.4   72  1003.0  360   15     AZUL AERO                                           
22012018     0  24.0   59  1004.9   20    4     BAHIA BLANCA AERO                                   
22012018     1  23.2   63  1004.6   20   15     BAHIA BLANCA AERO                                   
22012018     2  24.4   58  1004.3  340   11     BAHIA BLANCA AERO                                   
22012018     3  22.2   71  1003.9  340   11     BAHIA BLANCA AERO                                   
22012018     4  22.8   65  1003.5  340   13     BAHIA BLANCA AERO                                   
22012018     5  21.2   71  1003.5  340   11     BAHIA BLANCA AERO                                   
22012018     6  22.5   69  1004.5  320    9     BAHIA BLANCA AERO                                   
22012018     7  22.0   72  1004.6  320    9     BAHIA BLANCA AERO                                   
22012018     8  23.0   71  1004.5  320   11     BAHIA BLANCA AERO                                   
22012018     9  27.0   54  1004.0  360    7     BAHIA BLANCA AERO                                   
22012018    10  30.1   45  1003.6  360   11     BAHIA BLANCA AERO                                   
22012018    11  33.0   39  1003.2  340   11     BAHIA BLANCA AERO                                   
22012018    12  34.5   32  1002.3  340   13     BAHIA BLANCA AERO                                   
22012018    13  35.6   27  1001.6  320   19     BAHIA BLANCA AERO                                   
22012018    14  36.0   24  1000.6  360   19     BAHIA BLANCA AERO                                   
22012018    15  35.6   25  1000.1  340   19     BAHIA BLANCA AERO                                   
22012018    16  36.3   24   999.4  270   19     BAHIA BLANCA AERO                                   
22012018    17  31.4   40  1000.2  230   28     BAHIA BLANCA AERO                                   
22012018    18  30.1   43   999.7  230   17     BAHIA BLANCA AERO                                   
22012018    19  29.5   46   999.3   90    7     BAHIA BLANCA AERO                                   
22012018    20  29.0   44  1000.1   20   26     BAHIA BLANCA AERO                                   
22012018    21  27.8   48  1000.8  290   26     BAHIA BLANCA AERO                                   
22012018    22  26.4   53   999.8  320   13     BAHIA BLANCA AERO                                   
22012018    23  25.2   52  1000.2  360   13     BAHIA BLANCA AERO                                   
22012018     0  16.2   62  1459.0  290   30     BARILOCHE AERO                                      
22012018     1  15.7   55  1464.0  290   30     BARILOCHE AERO                                      
22012018     2  14.2   61  1463.0  270   17     BARILOCHE AERO                                      
22012018     3  13.9   52  1461.0  290   20     BARILOCHE AERO                                      
22012018     4  13.3   50  1457.0  270   13     BARILOCHE AERO                                      
22012018     5   9.8   61  1450.0  160    6     BARILOCHE AERO                                      
22012018     6  10.4   57  1451.0  160    7     BARILOCHE AERO                                      
22012018     7  11.0   51  1454.0    0    0     BARILOCHE AERO                                      
22012018     8  13.3   44  1457.0  290    7     BARILOCHE AERO                                      
22012018     9  15.8   37  1454.0  270   22     BARILOCHE AERO                                      
22012018    10  17.1   34  1451.0  290   33     BARILOCHE AERO                                      
22012018    11  18.8   26  1446.0  290   41     BARILOCHE AERO                                      
22012018    12  19.6   21  1442.0  290   43     BARILOCHE AERO                                      
22012018    13  21.3   20  1438.0  290   43     BARILOCHE AERO                                      
22012018    14  22.4   20  1431.0  290   37     BARILOCHE AERO                                      
22012018    15  22.9   21  1430.0  290   44     BARILOCHE AERO                                      
22012018    16  23.5   24  1425.0  290   41     BARILOCHE AERO                                      
