FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
01022018     0  24.7   78  1014.5  110   20     AEROPARQUE AERO                                     
01022018     1  25.1   73  1014.5   70   15     AEROPARQUE AERO                                     
01022018     2  25.2   68  1014.2   70   13     AEROPARQUE AERO                                     
01022018     3  24.9   80  1014.0   70   11     AEROPARQUE AERO                                     
01022018     4  24.5   81  1013.8   90    6     AEROPARQUE AERO                                     
01022018     5  24.5   79  1013.8   20    7     AEROPARQUE AERO                                     
01022018     6  25.0   78  1014.0   50    6     AEROPARQUE AERO                                     
01022018     7  25.0   78  1014.4  360    7     AEROPARQUE AERO                                     
01022018     8  25.9   75  1014.6  990    4     AEROPARQUE AERO                                     
01022018     9  26.6   71  1014.7   50    9     AEROPARQUE AERO                                     
01022018    10  27.2   68  1014.8   70    7     AEROPARQUE AERO                                     
01022018    11  27.4   67  1014.5   70   11     AEROPARQUE AERO                                     
01022018    12  27.1   72  1014.4  110   15     AEROPARQUE AERO                                     
01022018    13  28.0   70  1014.0   90   11     AEROPARQUE AERO                                     
01022018    14  29.2   54  1013.4   90   11     AEROPARQUE AERO                                     
01022018    15  29.3   61  1012.8  110   17     AEROPARQUE AERO                                     
01022018    16  29.4   53  1012.2  110   17     AEROPARQUE AERO                                     
01022018    17  28.7   56  1011.7   90   15     AEROPARQUE AERO                                     
01022018    18  28.9   55  1011.3  110   13     AEROPARQUE AERO                                     
01022018    19  28.0   65  1011.2  110   13     AEROPARQUE AERO                                     
01022018    20  27.3   65  1011.5  110   13     AEROPARQUE AERO                                     
01022018    21  27.3   69  1011.8   70    7     AEROPARQUE AERO                                     
01022018    22  27.4   72  1012.0   70    7     AEROPARQUE AERO                                     
01022018    23  27.3   74  1012.5   90    9     AEROPARQUE AERO                                     
01022018     0  19.8   89  1015.4   90   11     AZUL AERO                                           
01022018     1  19.8   91  1015.4   90   11     AZUL AERO                                           
01022018     2  19.0   92  1015.0   90    6     AZUL AERO                                           
01022018     3  17.8   96  1014.7   70    9     AZUL AERO                                           
01022018     4  18.2   98  1014.5  140    9     AZUL AERO                                           
01022018     5  18.6   98  1014.2   90   19     AZUL AERO                                           
01022018     6  18.2   98  1014.8   90   17     AZUL AERO                                           
01022018     7  18.0   96  1015.0   90   19     AZUL AERO                                           
01022018     8  18.8   92  1015.0   70   17     AZUL AERO                                           
01022018     9  20.3   86  1014.8   50   15     AZUL AERO                                           
01022018    10  22.9   73  1014.2   50   11     AZUL AERO                                           
01022018    11  26.7   57  1013.9  320   13     AZUL AERO                                           
01022018    12  28.9   52  1013.5  340   15     AZUL AERO                                           
01022018    13  31.1   44  1012.3  290   17     AZUL AERO                                           
01022018    14  32.2   42  1011.6  270   17     AZUL AERO                                           
01022018    15  33.9   36  1010.5  270   17     AZUL AERO                                           
01022018    16  33.2   37  1010.2  290   22     AZUL AERO                                           
01022018    17  33.5   36  1009.9  270   20     AZUL AERO                                           
