FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
19012018     0  27.3   52  1012.4  270    7     AEROPARQUE AERO                                     
19012018     1  26.7   54  1012.3  270    7     AEROPARQUE AERO                                     
19012018     2  26.2   55  1012.3  250   11     AEROPARQUE AERO                                     
19012018     3  25.3   59  1011.9  270    7     AEROPARQUE AERO                                     
19012018     4  24.5   63  1012.0  250    6     AEROPARQUE AERO                                     
19012018     5  23.8   65  1012.3  290    6     AEROPARQUE AERO                                     
19012018     6  22.7   69  1013.7  230    7     AEROPARQUE AERO                                     
19012018     7  22.6   68  1014.2  180    6     AEROPARQUE AERO                                     
19012018     8  25.7   57  1014.7  200    4     AEROPARQUE AERO                                     
19012018     9  25.3   63  1014.9   70    7     AEROPARQUE AERO                                     
19012018    10  26.1   62  1015.2   50    9     AEROPARQUE AERO                                     
19012018    11  27.0   59  1015.0   50   11     AEROPARQUE AERO                                     
19012018    12  27.5   61  1014.9   50   13     AEROPARQUE AERO                                     
19012018    13  27.7   62  1014.7   50   15     AEROPARQUE AERO                                     
19012018    14  28.5   58  1014.1   50   13     AEROPARQUE AERO                                     
19012018    15  28.5   53  1013.9   50   15     AEROPARQUE AERO                                     
19012018    16  29.0   50  1013.5   50   13     AEROPARQUE AERO                                     
19012018    17  29.8   44  1013.6   70   13     AEROPARQUE AERO                                     
19012018    18  28.5   52  1013.1   90   19     AEROPARQUE AERO                                     
19012018    19  26.2   71  1013.4  110   30     AEROPARQUE AERO                                     
19012018    20  25.1   66  1013.6  110   24     AEROPARQUE AERO                                     
19012018    21  24.8   69  1014.2  110   26     AEROPARQUE AERO                                     
19012018    22  24.6   68  1014.8  110   28     AEROPARQUE AERO                                     
19012018    23  24.6   66  1015.1  110   24     AEROPARQUE AERO                                     
19012018     0  16.8   76  1013.3  140    9     AZUL AERO                                           
19012018     1  16.1   86  1013.4  140    9     AZUL AERO                                           
19012018     2  15.4   79  1013.0  140    4     AZUL AERO                                           
19012018     3  14.4   81  1012.8    0    0     AZUL AERO                                           
19012018     4  13.6   89  1012.9  200    4     AZUL AERO                                           
19012018     5  12.4   93  1013.5  180    2     AZUL AERO                                           
19012018     6  12.4   91  1014.3  200    7     AZUL AERO                                           
19012018     7  13.6   86  1014.5    0    0     AZUL AERO                                           
19012018     8  17.3   76  1015.3  270    2     AZUL AERO                                           
