FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
28012018     0  25.4   84  1007.9  290    2     AEROPARQUE AERO                                     
28012018     1  25.5   65  1007.9  250    6     AEROPARQUE AERO                                     
28012018     2  25.1   64  1007.9  250    7     AEROPARQUE AERO                                     
28012018     3  24.8   66  1008.1  230    6     AEROPARQUE AERO                                     
28012018     4  24.2   66  1008.3  230    9     AEROPARQUE AERO                                     
28012018     5  23.3   73  1008.3  200    6     AEROPARQUE AERO                                     
28012018     6  23.1   74  1008.6  230    6     AEROPARQUE AERO                                     
28012018     7  23.5   70  1009.2  200   11     AEROPARQUE AERO                                     
28012018     8  24.5   67  1009.7  200    7     AEROPARQUE AERO                                     
28012018     9  25.5   63  1010.3  200   13     AEROPARQUE AERO                                     
28012018    10  27.1   55  1010.5  160    7     AEROPARQUE AERO                                     
28012018    11  27.7   50  1010.7  180    9     AEROPARQUE AERO                                     
28012018    12  29.9   41  1010.7  140   15     AEROPARQUE AERO                                     
28012018    13  29.0   58  1010.8   70   15     AEROPARQUE AERO                                     
28012018    14  27.5   67  1010.7   70   17     AEROPARQUE AERO                                     
28012018    15  29.1   58  1010.4   90   20     AEROPARQUE AERO                                     
28012018    16  27.5   53  1010.5   90   24     AEROPARQUE AERO                                     
28012018    17  27.1   38  1010.5  110   30     AEROPARQUE AERO                                     
28012018    18  26.7   47  1010.9  110   31     AEROPARQUE AERO                                     
28012018    19  25.2   53  1011.2  110   30     AEROPARQUE AERO                                     
28012018    20  24.1   60  1011.6  110   30     AEROPARQUE AERO                                     
28012018    21  23.6   59  1012.4  110   30     AEROPARQUE AERO                                     
28012018    22  23.6   60  1013.0  110   28     AEROPARQUE AERO                                     
28012018    23  23.6   56  1013.4  110   30     AEROPARQUE AERO                                     
28012018     0  17.6   85  1008.4   90    7     AZUL AERO                                           
28012018     1  15.5   84  1009.2  180    4     AZUL AERO                                           
28012018     2  14.3   80  1009.4  160   11     AZUL AERO                                           
28012018     3  14.1   79  1009.3  180    7     AZUL AERO                                           
28012018     4  13.6   80  1009.3  180    7     AZUL AERO                                           
28012018     5  14.0   76  1009.5  160    7     AZUL AERO                                           
28012018     6  11.7   87  1010.0  200    2     AZUL AERO                                           
28012018     7  13.2   77  1010.6  200    7     AZUL AERO                                           
28012018     8  17.2   69  1011.1  200    6     AZUL AERO                                           
28012018     9  22.6   44  1011.3  140    9     AZUL AERO                                           
28012018    10  26.3   24  1011.6  140   19     AZUL AERO                                           
28012018    11  26.9   24  1011.7  140    9     AZUL AERO                                           
28012018    12  28.2   24  1011.9  140    9     AZUL AERO                                           
