FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
31012018     0  25.0   84  1011.5   90   13     AEROPARQUE AERO                                     
31012018     1  24.8   89  1011.7   90    9     AEROPARQUE AERO                                     
31012018     2  25.0   84  1011.7   90    7     AEROPARQUE AERO                                     
31012018     3  25.0   80  1011.7   90   13     AEROPARQUE AERO                                     
31012018     4  25.1   68  1012.0   50   11     AEROPARQUE AERO                                     
31012018     5  24.0   73  1012.2  360   13     AEROPARQUE AERO                                     
31012018     6  24.3   78  1012.8   10   17     AEROPARQUE AERO                                     
31012018     7  24.4   80  1013.3   20   11     AEROPARQUE AERO                                     
31012018     8  24.4   80  1014.1  360   17     AEROPARQUE AERO                                     
31012018     9  25.6   75  1014.7  360   13     AEROPARQUE AERO                                     
31012018    10  25.4   73  1014.9   20    9     AEROPARQUE AERO                                     
31012018    11  27.0   67  1015.3   50    9     AEROPARQUE AERO                                     
31012018    12  27.2   69  1015.6   50    9     AEROPARQUE AERO                                     
31012018    13  27.6   68  1015.4   70   13     AEROPARQUE AERO                                     
31012018    14  27.6   70  1014.9   70   13     AEROPARQUE AERO                                     
31012018    15  28.8   66  1014.4   70   15     AEROPARQUE AERO                                     
31012018    16  28.6   70  1013.8  110   17     AEROPARQUE AERO                                     
31012018    17  27.8   72  1013.7   90   19     AEROPARQUE AERO                                     
31012018    18  28.1   63  1013.5   90   17     AEROPARQUE AERO                                     
31012018    20  26.5   63  1013.4  110   20     AEROPARQUE AERO                                     
31012018    21  25.3   71  1014.0  110   24     AEROPARQUE AERO                                     
31012018    22  25.8   67  1014.8  110   24     AEROPARQUE AERO                                     
31012018    23  24.9   78  1014.9  110   20     AEROPARQUE AERO                                     
31012018     0  20.2   82  1011.6  110   11     AZUL AERO                                           
31012018     1  19.8   87  1011.9  160    9     AZUL AERO                                           
31012018     2  19.2   92  1011.8   90    7     AZUL AERO                                           
31012018     3  19.6   93  1011.9  140    9     AZUL AERO                                           
31012018     4  19.1   95  1011.7  110    7     AZUL AERO                                           
31012018     5  19.1   95  1011.9   70    9     AZUL AERO                                           
31012018     6  18.7   87  1012.8  140   11     AZUL AERO                                           
31012018     7  19.2   94  1013.8  140   15     AZUL AERO                                           
31012018     8  20.4   91  1014.7  140   11     AZUL AERO                                           
31012018     9  21.8   81  1015.0   90   13     AZUL AERO                                           
31012018    10  23.6   75  1015.3  140   11     AZUL AERO                                           
31012018    11  25.2   70  1015.4   90   13     AZUL AERO                                           
31012018    12  27.0   63  1015.1  360    9     AZUL AERO                                           
31012018    13  28.6   58  1015.2  140    7     AZUL AERO                                           
31012018    14  30.6   53  1014.3  140    6     AZUL AERO                                           
31012018    15  30.4   51  1014.4  140    7     AZUL AERO                                           
31012018    16  31.6   36  1013.8   50    9     AZUL AERO                                           
31012018    17  32.6   33  1013.6   50    7     AZUL AERO                                           
31012018    18  31.6   37  1013.3   90    6     AZUL AERO                                           
31012018    19  30.4   36  1013.5   90    7     AZUL AERO                                           
31012018    20  28.6   48  1013.6   90    7     AZUL AERO                                           
31012018    21  25.4   69  1014.5  140   22     AZUL AERO                                           
