FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
05012018     0  27.7   76  1002.6  340    7     AEROPARQUE AERO                                     
05012018     1  28.1   64  1002.2  360   15     AEROPARQUE AERO                                     
05012018     2  28.0   54  1003.1  340   15     AEROPARQUE AERO                                     
05012018     3  27.5   54  1003.3  340   15     AEROPARQUE AERO                                     
05012018     4  26.6   56  1003.4  320   13     AEROPARQUE AERO                                     
05012018     5  27.3   46  1005.1  230    7     AEROPARQUE AERO                                     
05012018     6  26.0   56  1005.6  160    6     AEROPARQUE AERO                                     
05012018     7  23.4   73  1006.7  180   17     AEROPARQUE AERO                                     
05012018     8  22.7   62  1007.7  160   13     AEROPARQUE AERO                                     
05012018     9  22.7   64  1009.1  180   13     AEROPARQUE AERO                                     
05012018    10  21.8   64  1009.7  160   17     AEROPARQUE AERO                                     
05012018    11  19.7   70  1010.0  180   19     AEROPARQUE AERO                                     
05012018    12  19.6   91  1011.3  140   19     AEROPARQUE AERO                                     
05012018    13  20.2   92  1010.6  140   15     AEROPARQUE AERO                                     
05012018    14  22.2   73  1009.1   90   13     AEROPARQUE AERO                                     
05012018    15  23.1   70  1010.0  180   56     AEROPARQUE AERO                                     
05012018    16  22.6   70  1009.7  990    4     AEROPARQUE AERO                                     
05012018    17  20.8   83  1009.4  990    4     AEROPARQUE AERO                                     
05012018    18  21.0   74  1010.3  270    7     AEROPARQUE AERO                                     
05012018    19  20.8   77  1010.3  230    7     AEROPARQUE AERO                                     
05012018    20  20.7   77  1010.7  200   11     AEROPARQUE AERO                                     
05012018    21  20.6   73  1011.4  230    7     AEROPARQUE AERO                                     
05012018    22  20.5   74  1011.9  230    7     AEROPARQUE AERO                                     
05012018    23  20.5   74  1012.7  290    6     AEROPARQUE AERO                                     
05012018     0  19.6   77  1003.6  140   31     AZUL AERO                                           
05012018     1  19.1   89  1006.4  160   19     AZUL AERO                                           
05012018     2  17.4   92  1007.6  160   17     AZUL AERO                                           
05012018     3  16.2   95  1008.4  140   13     AZUL AERO                                           
05012018     4  15.2   98  1007.0   70   26     AZUL AERO                                           
05012018     5  15.4   96  1006.4   50   26     AZUL AERO                                           
05012018     6  15.3   94  1006.7   70   15     AZUL AERO                                           
05012018     7  15.2   96  1007.8  360    9     AZUL AERO                                           
05012018     8  15.8   96  1008.8  360    7     AZUL AERO                                           
05012018     9  16.0   96  1009.2  320   11     AZUL AERO                                           
05012018    10  17.2   92  1009.7  320   13     AZUL AERO                                           
05012018    11  18.6   88  1010.3  320   17     AZUL AERO                                           
05012018    12  19.2   83  1010.5  320   17     AZUL AERO                                           
05012018    13  21.4   66  1009.9  270   15     AZUL AERO                                           
05012018    14  23.6   52  1009.1  270   17     AZUL AERO                                           
05012018    15  24.6   40  1008.8  270   19     AZUL AERO                                           
05012018    16  26.2   25  1008.2  270   13     AZUL AERO                                           
05012018    17  26.4   21  1008.1  270   15     AZUL AERO                                           
05012018    18  26.0   20  1008.1  270   11     AZUL AERO                                           
05012018    19  25.4   21  1009.2  270    9     AZUL AERO                                           
05012018    21  18.8   59  1011.9  140   26     AZUL AERO                                           
05012018     0  22.2   42  1003.4  290   20     BAHIA BLANCA AERO                                   
05012018     1  21.4   49  1003.8  290   20     BAHIA BLANCA AERO                                   
05012018     2  20.6   52  1004.7  290   20     BAHIA BLANCA AERO                                   
05012018     3  20.8   36  1004.8  270   24     BAHIA BLANCA AERO                                   
05012018     4  20.0   33  1004.8  250   26     BAHIA BLANCA AERO                                   
05012018     5  18.4   35  1005.7  270   20     BAHIA BLANCA AERO                                   
05012018     6  17.1   39  1006.7  250   19     BAHIA BLANCA AERO                                   
05012018     7  18.2   40  1008.4  270   22     BAHIA BLANCA AERO                                   
05012018     8  19.4   41  1009.3  250   24     BAHIA BLANCA AERO                                   
05012018     9  20.5   36  1010.0  230   26     BAHIA BLANCA AERO                                   
05012018    10  21.9   32  1010.0  230   24     BAHIA BLANCA AERO                                   
05012018    11  22.5   28  1010.1  200   22     BAHIA BLANCA AERO                                   
05012018    12  23.6   27  1010.0  270   19     BAHIA BLANCA AERO                                   
05012018    13  24.5   26  1010.0  200   22     BAHIA BLANCA AERO                                   
05012018    15  26.1   20  1010.0  230   20     BAHIA BLANCA AERO                                   
05012018    16  26.7   17  1009.6  330   28     BAHIA BLANCA AERO                                   
05012018    17  26.3   19  1009.7  230   24     BAHIA BLANCA AERO                                   
05012018    18  24.0   26  1010.4  140   28     BAHIA BLANCA AERO                                   
05012018    19  23.2   35  1011.2  140   15     BAHIA BLANCA AERO                                   
05012018    21  17.8   52  1013.3   90   19     BAHIA BLANCA AERO                                   
05012018    23  14.5   61  1015.3   70   15     BAHIA BLANCA AERO                                   
05012018     0   7.5   78  1430.0  270   33     BARILOCHE AERO                                      
05012018     1   7.6   66  1436.0  270   39     BARILOCHE AERO                                      
05012018     2   7.6   60  1439.0  270   26     BARILOCHE AERO                                      
05012018     3   7.7   60  1443.0  290   20     BARILOCHE AERO                                      
05012018     4   7.4   68  1439.0  270   31     BARILOCHE AERO                                      
05012018     5   7.4   73  1444.0  270   33     BARILOCHE AERO                                      
05012018     6   7.5   74  1447.0  270   39     BARILOCHE AERO                                      
05012018     7   7.8   69  1455.0  270   33     BARILOCHE AERO                                      
