FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
24012018     0  25.6   66  1006.4  320    6     AEROPARQUE AERO                                     
24012018     1  25.4   64  1006.6  320    6     AEROPARQUE AERO                                     
24012018     2  24.4   73  1006.9  230   13     AEROPARQUE AERO                                     
24012018     3  23.0   78  1008.0  180   15     AEROPARQUE AERO                                     
24012018     4  22.0   75  1009.2  200   19     AEROPARQUE AERO                                     
24012018     5  20.0   70  1010.6  200   19     AEROPARQUE AERO                                     
24012018     6  19.6   71  1011.6  160   15     AEROPARQUE AERO                                     
24012018     7  19.1   72  1012.4  200   17     AEROPARQUE AERO                                     
24012018     8  19.2   68  1013.3  180   24     AEROPARQUE AERO                                     
24012018     9  19.7   57  1013.8  160   22     AEROPARQUE AERO                                     
24012018    10  20.9   48  1014.4  160   28     AEROPARQUE AERO                                     
24012018    11  22.5   46  1015.1  200   15     AEROPARQUE AERO                                     
24012018    12  22.9   44  1015.4  180   20     AEROPARQUE AERO                                     
24012018    13  24.0   37  1016.0  180   19     AEROPARQUE AERO                                     
24012018    14  24.6   34  1016.0  160   22     AEROPARQUE AERO                                     
24012018    15  25.7   35  1015.8  160   15     AEROPARQUE AERO                                     
24012018    16  26.4   33  1015.8  160   20     AEROPARQUE AERO                                     
24012018    17  25.6   32  1015.6  140   22     AEROPARQUE AERO                                     
24012018    18  24.9   36  1015.9  160   17     AEROPARQUE AERO                                     
24012018    19  24.5   36  1016.0  160   17     AEROPARQUE AERO                                     
24012018    20  23.0   40  1017.1  140   20     AEROPARQUE AERO                                     
24012018    21  21.8   46  1017.8  140   28     AEROPARQUE AERO                                     
24012018    22  20.4   51  1018.8  140   28     AEROPARQUE AERO                                     
24012018    23  19.7   52  1019.3  140   26     AEROPARQUE AERO                                     
24012018     0  17.6   81  1009.7  180   26     AZUL AERO                                           
24012018     1  16.6   80  1010.9  140   20     AZUL AERO                                           
24012018     2  16.3   82  1010.7  180   26     AZUL AERO                                           
24012018     3  15.3   84  1011.2  160   15     AZUL AERO                                           
24012018     4  14.6   86  1011.9  180   17     AZUL AERO                                           
24012018     5  13.7   87  1013.1  200   17     AZUL AERO                                           
24012018     6  12.5   88  1013.8  180   13     AZUL AERO                                           
24012018     7  12.9   87  1014.8  180   13     AZUL AERO                                           
24012018     8  15.5   72  1015.8  180   15     AZUL AERO                                           
24012018     9  17.5   57  1016.1  160   19     AZUL AERO                                           
24012018    10  18.3   56  1016.7  160   20     AZUL AERO                                           
24012018    11  19.5   51  1017.2  160   19     AZUL AERO                                           
24012018    12  20.8   44  1017.8  140   17     AZUL AERO                                           
24012018    13  22.2   32  1018.2  160   24     AZUL AERO                                           
24012018    14  23.4   32  1017.8  180   20     AZUL AERO                                           
24012018    15  23.0   32  1017.4  180   19     AZUL AERO                                           
24012018    16  23.6   30  1017.9  180   13     AZUL AERO                                           
24012018    17  23.2   32  1017.8  180   15     AZUL AERO                                           
24012018    18  22.8   33  1018.2  140   17     AZUL AERO                                           
24012018    19  21.0   39  1018.3  140   19     AZUL AERO                                           
24012018    20  19.2   46  1018.9  140   15     AZUL AERO                                           
24012018    21  15.4   61  1019.5  140   17     AZUL AERO                                           
24012018    22  12.8   75  1020.7   90   11     AZUL AERO                                           
24012018    23  10.9   81  1021.0  140    7     AZUL AERO                                           
24012018     0  17.8   61  1015.5  160   20     BAHIA BLANCA AERO                                   
24012018     1  17.4   62  1016.0  160   17     BAHIA BLANCA AERO                                   
24012018     2  17.0   63  1016.2  160   17     BAHIA BLANCA AERO                                   
24012018     3  16.3   65  1016.4  160   17     BAHIA BLANCA AERO                                   
24012018     4  16.3   63  1016.7  160   15     BAHIA BLANCA AERO                                   
24012018     5  15.2   77  1017.2  200   11     BAHIA BLANCA AERO                                   
24012018     6  14.0   84  1017.8  200    7     BAHIA BLANCA AERO                                   
24012018     7  13.4   86  1019.1  230    9     BAHIA BLANCA AERO                                   
24012018     8  15.0   79  1020.1  200   15     BAHIA BLANCA AERO                                   
24012018     9  17.0   66  1020.6  180   19     BAHIA BLANCA AERO                                   
24012018    10  20.1   48  1020.8  140   28     BAHIA BLANCA AERO                                   
24012018    11  20.6   47  1021.0  160   20     BAHIA BLANCA AERO                                   
24012018    12  21.6   39  1021.7  140   22     BAHIA BLANCA AERO                                   
24012018    13  21.5   40  1021.4  140   26     BAHIA BLANCA AERO                                   
24012018    14  22.0   40  1021.3  140   24     BAHIA BLANCA AERO                                   
24012018    15  22.0   39  1021.3  140   26     BAHIA BLANCA AERO                                   
24012018    16  22.1   36  1021.2  140   28     BAHIA BLANCA AERO                                   
24012018    18  21.0   42  1020.8  140   28     BAHIA BLANCA AERO                                   
24012018    19  19.7   42  1020.5  110   26     BAHIA BLANCA AERO                                   
24012018    20  18.0   48  1020.8  110   24     BAHIA BLANCA AERO                                   
24012018    21  16.8   54  1021.4  110   19     BAHIA BLANCA AERO                                   
24012018    22  15.4   59  1021.2  110   19     BAHIA BLANCA AERO                                   
24012018    23  14.3   66  1021.5   90   17     BAHIA BLANCA AERO                                   
24012018     0   9.4   59  1504.0  180   11     BARILOCHE AERO                                      
24012018     1   7.8   65  1506.0  160   11     BARILOCHE AERO                                      
24012018     2   7.8   64  1510.0  180   11     BARILOCHE AERO                                      
24012018     3   6.4   66  1506.0  180    7     BARILOCHE AERO                                      
24012018     4   5.4   70  1504.0  180    9     BARILOCHE AERO                                      
24012018     5   4.9   62  1504.0  140    7     BARILOCHE AERO                                      
24012018     6   3.8   70  1508.0  180    9     BARILOCHE AERO                                      
24012018     7   5.0   61  1511.0  140   11     BARILOCHE AERO                                      
24012018     8   9.2   46  1519.0  180   13     BARILOCHE AERO                                      
24012018     9  16.3   35  1528.0  110   13     BARILOCHE AERO                                      
24012018    10  15.3   42  1523.0   70   17     BARILOCHE AERO                                      
24012018    11  16.4   43  1518.0   10   19     BARILOCHE AERO                                      
24012018    12  17.7   39  1511.0   20   20     BARILOCHE AERO                                      
24012018    13  19.2   34  1506.0   20   28     BARILOCHE AERO                                      
24012018    14  20.6   33  1499.0   20   13     BARILOCHE AERO                                      
24012018    15  22.5   27  1494.0   20   19     BARILOCHE AERO                                      
24012018    16  22.5   28  1485.0   20   20     BARILOCHE AERO                                      
24012018    17  23.7   26  1483.0   20   17     BARILOCHE AERO                                      
24012018    18  24.8   24  1478.0  360   11     BARILOCHE AERO                                      
24012018    19  24.8   23  1478.0  320   13     BARILOCHE AERO                                      
24012018    20  24.1   25  1479.0  360    7     BARILOCHE AERO                                      
24012018    21  20.1   39  1488.0  230    7     BARILOCHE AERO                                      
24012018    22  19.1   39  1495.0  360   11     BARILOCHE AERO                                      
24012018    23  17.7   50  1501.0  180   11     BARILOCHE AERO                                      
24012018     0  -2.8   89   986.7   90   11     BASE BELGRANO II                                    
24012018     3  -2.6   89   987.0   90   19     BASE BELGRANO II                                    
24012018     6  -2.4   94   987.5   90    9     BASE BELGRANO II                                    
24012018     9   -.9   91   987.4   90   17     BASE BELGRANO II                                    
24012018    12   -.9   91   987.2  360   74     BASE BELGRANO II                                    
24012018    15  -1.2   93   988.0   20   52     BASE BELGRANO II                                    
24012018    18  -1.5   92   988.7   20   17     BASE BELGRANO II                                    
24012018    21  -1.8   92   988.9    0    0     BASE BELGRANO II                                    
24012018     0   2.4   89   990.5  270   24     BASE CARLINI (EX JUBANY)                            
24012018     3   2.0   95   989.5  270   28     BASE CARLINI (EX JUBANY)                            
24012018     6   2.2   91   988.7  270   28     BASE CARLINI (EX JUBANY)                            
24012018     9   2.7   88   987.6  290   19     BASE CARLINI (EX JUBANY)                            
24012018    12   4.1   73   983.9  320   37     BASE CARLINI (EX JUBANY)                            
24012018    15   3.0   83   983.2  270   28     BASE CARLINI (EX JUBANY)                            
24012018    18   2.8   88   983.5  270   28     BASE CARLINI (EX JUBANY)                            
24012018    21   3.0   88   984.8  270   30     BASE CARLINI (EX JUBANY)                            
24012018     0   2.2   65   986.5  250   33     BASE ESPERANZA                                      
24012018     3   2.8   63   985.9  230   33     BASE ESPERANZA                                      
24012018     6   3.4   64   985.6  230   28     BASE ESPERANZA                                      
24012018     8   3.0   78   985.5  270   30     BASE ESPERANZA                                      
24012018     9   3.0   80   985.4  320   22     BASE ESPERANZA                                      
24012018    12   3.4   76   983.7  290   28     BASE ESPERANZA                                      
24012018    15   1.1   92   981.9   50   17     BASE ESPERANZA                                      
24012018    18   3.9   69   978.9  320   15     BASE ESPERANZA                                      
24012018    21   4.7   63   977.9  230   26     BASE ESPERANZA                                      
24012018     0  -2.7   97   986.6  340   11     BASE MARAMBIO                                       
24012018     1  -2.2   98   986.6  340    9     BASE MARAMBIO                                       
24012018     2  -2.3   98   986.1  340    9     BASE MARAMBIO                                       
24012018     3  -2.4   98   985.7  320   13     BASE MARAMBIO                                       
24012018     4  -2.2   98   985.4  320   15     BASE MARAMBIO                                       
24012018     5  -1.8   99   985.5  290   17     BASE MARAMBIO                                       
24012018     6   -.6   96   985.2  290   20     BASE MARAMBIO                                       
24012018     7   -.3   87   985.0  290   20     BASE MARAMBIO                                       
24012018     8    .2   82   984.5  290   22     BASE MARAMBIO                                       
24012018     9    .8   82   983.6  290   26     BASE MARAMBIO                                       
24012018    10   2.2   65   983.2  290   24     BASE MARAMBIO                                       
24012018    11   2.4   62   982.9  320   30     BASE MARAMBIO                                       
24012018    12   2.2   65   982.3  320   39     BASE MARAMBIO                                       
24012018    13   1.6   77   982.2  320   26     BASE MARAMBIO                                       
24012018    14   1.6   80   981.2  320   35     BASE MARAMBIO                                       
24012018    15   1.4   84   980.7  340   33     BASE MARAMBIO                                       
24012018    16   1.4   87   980.1  340   33     BASE MARAMBIO                                       
24012018    17    .7   93   979.6  340   26     BASE MARAMBIO                                       
24012018    18    .1   94   978.8  340   30     BASE MARAMBIO                                       
24012018    19    .7   84   978.5  340   30     BASE MARAMBIO                                       
24012018    20    .0   92   977.9  320   24     BASE MARAMBIO                                       
24012018    21    .4   91   978.0  290   20     BASE MARAMBIO                                       
24012018    22   1.5   87   977.7  290   13     BASE MARAMBIO                                       
24012018    23   1.6   78   977.8  200   17     BASE MARAMBIO                                       
24012018     0    .3   90   993.2  110   11     BASE ORCADAS                                        
24012018     3   1.1   78   994.5  360   13     BASE ORCADAS                                        
24012018     6   1.5   71   996.0  320    7     BASE ORCADAS                                        
24012018     9   2.9   76   996.4  320    6     BASE ORCADAS                                        
24012018    12   4.7   75   997.2  340   15     BASE ORCADAS                                        
24012018    15   1.8   91   996.5  360   15     BASE ORCADAS                                        
24012018    18   2.0   86   995.9  320   13     BASE ORCADAS                                        
24012018    21   1.3   91   994.7  320   24     BASE ORCADAS                                        
24012018     0   2.2   75   978.2   50   17     BASE SAN MARTIN                                     
24012018     3   -.2   96   978.3  320   30     BASE SAN MARTIN                                     
24012018     6  -1.8   94   979.5  110   13     BASE SAN MARTIN                                     
24012018     9  -1.0   83   978.7  180   13     BASE SAN MARTIN                                     
24012018    12    .8   65   977.4   90   20     BASE SAN MARTIN                                     
24012018    15    .8   72   977.1  140   17     BASE SAN MARTIN                                     
24012018    18   1.4   66   976.5  360    4     BASE SAN MARTIN                                     
24012018    21   1.0   70   977.1   50    7     BASE SAN MARTIN                                     
24012018     9  15.8   71  1015.6  180   33     BENITO JUAREZ AERO                                  
24012018    12  19.6   40  1017.6  180   44     BENITO JUAREZ AERO                                  
24012018    15  21.4   38  1018.3  180   33     BENITO JUAREZ AERO                                  
24012018    18  20.2   44  1018.8  180   33     BENITO JUAREZ AERO                                  
24012018    21  13.4   67  1020.2  160    4     BENITO JUAREZ AERO                                  
24012018     6  21.2   84  1487.0   50    9     BERNARDO DE IRIGOYEN AERO                           
