22_2_18.txt
22_2_18.txt
22/2/18-8:45:14,139,113,414,58,191,3,32.00,25.00,17,19
22/2/18-8:46:15,139,119,356,65,179,2,32.00,25.00,17,19
22_2_18.txt
22_2_18.txt
22/2/18-8:47:37,570,119,310,65,157,2,32.00,25.00,2,2,2
22_2_18.txt
22_2_18.txt
22_2_18.txt
22/2/18-8:52:0,558,102,236,44,89,2,33.00,22.00,10,10,10
22/2/18-8:53:1,138,107,223,48,41,3,34.00,22.00,10,15,18
22/2/18-8:54:2,137,101,224,47,41,1,33.00,22.00,10,15,18
22/2/18-8:55:3,135,101,248,55,41,1,34.00,22.00,8,14,15
22/2/18-8:56:4,137,103,228,48,40,3,34.00,22.00,8,14,15
22/2/18-8:57:5,137,101,220,49,36,3,34.00,22.00,8,14,18
22/2/18-8:58:6,136,100,232,59,50,2,34.00,22.00,8,14,18
22/2/18-8:59:7,138,101,256,70,49,1,34.00,22.00,10,13,17
22/2/18-9:0:8,137,100,234,51,58,1,34.00,22.00,10,13,17
22/2/18-9:1:9,137,96,210,47,54,3,34.00,22.00,9,17,20
22/2/18-9:2:10,137,100,219,52,48,3,34.00,22.00,9,16,20
22/2/18-9:3:11,137,99,237,52,53,1,34.00,22.00,6,9,9
22/2/18-9:4:12,139,102,233,52,60,4,34.00,22.00,6,9,9
22/2/18-9:5:13,137,101,222,50,48,0,34.00,22.00,8,11,12
22/2/18-9:6:14,138,96,207,47,34,3,34.00,22.00,8,11,12
22/2/18-9:7:15,137,100,232,58,41,3,34.00,22.00,9,11,16
22/2/18-9:8:16,137,101,218,48,39,3,34.00,22.00,9,11,16
22/2/18-9:9:17,138,100,214,48,32,3,34.00,22.00,9,13,17
22/2/18-9:10:18,136,95,212,48,35,3,34.00,22.00,9,13,17
22/2/18-9:11:19,137,99,219,48,34,3,33.00,22.00,8,12,12
22/2/18-9:12:20,137,99,223,51,32,1,34.00,22.00,8,12,12
22/2/18-9:13:21,138,99,225,54,26,2,34.00,22.00,7,11,13
22/2/18-9:14:22,136,93,199,44,21,4,34.00,22.00,7,11,13
22/2/18-9:15:23,137,98,222,52,24,3,34.00,22.00,8,12,12
22/2/18-9:16:24,139,105,232,54,30,1,34.00,22.00,8,12,12
22/2/18-9:17:25,137,98,231,58,39,1,34.00,22.00,7,11,15
22/2/18-9:18:26,139,100,225,50,42,1,34.00,22.00,7,11,15
22/2/18-9:19:27,137,97,219,51,32,3,34.00,22.00,7,10,11
22/2/18-9:20:28,137,98,223,57,24,2,34.00,22.00,7,11,12
22/2/18-9:21:29,138,94,208,43,19,3,34.00,22.00,5,9,10
22/2/18-9:22:30,137,99,222,55,18,1,34.00,22.00,6,10,11
22/2/18-9:23:31,138,99,210,49,16,3,34.00,22.00,7,10,15
22/2/18-9:24:32,137,93,198,42,18,3,34.00,22.00,7,10,15
22/2/18-9:25:33,137,97,249,89,28,3,34.00,22.00,7,11,11
22/2/18-9:26:34,138,98,227,54,28,3,34.00,22.00,7,10,10
22/2/18-9:27:35,137,99,240,56,35,3,33.00,23.00,8,10,12
22/2/18-9:28:36,136,94,204,42,32,4,33.00,23.00,8,10,12
22/2/18-9:29:37,136,97,220,52,33,2,33.00,23.00,7,10,13
22/2/18-9:30:38,137,99,219,50,27,3,33.00,23.00,7,10,11
22/2/18-9:31:39,137,94,205,44,25,4,33.00,23.00,7,10,11
22/2/18-9:32:40,136,99,248,63,30,1,33.00,23.00,7,10,11
22/2/18-9:33:41,138,99,223,54,30,3,33.00,23.00,6,10,11
22/2/18-9:34:42,136,98,219,59,22,1,33.00,23.00,6,10,11
22/2/18-9:35:43,136,97,232,59,20,2,33.00,23.00,7,9,9
22/2/18-9:36:44,136,98,235,62,17,1,33.00,23.00,7,9,9
22/2/18-9:37:45,136,98,226,59,19,2,33.00,23.00,7,10,12
22/2/18-9:38:46,137,95,224,48,17,3,33.00,23.00,7,10,12
22/2/18-9:39:47,137,99,232,51,25,0,33.00,23.00,5,11,14
22/2/18-9:40:48,138,98,222,56,22,3,33.00,23.00,5,11,14
22/2/18-9:41:49,137,98,214,53,14,3,33.00,23.00,4,6,9
22/2/18-9:42:50,138,98,222,61,18,2,33.00,23.00,5,7,8
22/2/18-9:43:51,137,102,216,55,22,3,33.00,23.00,5,9,10
22/2/18-9:44:52,138,95,199,40,15,2,33.00,23.00,5,9,10
22/2/18-9:45:53,137,98,210,51,16,4,33.00,23.00,5,7,8
22/2/18-9:46:54,136,99,211,57,13,1,33.00,23.00,4,6,7
22/2/18-9:47:55,135,97,242,74,18,1,33.00,24.00,2,5,5
22/2/18-9:48:56,136,98,209,48,15,1,33.00,23.00,2,5,5
22/2/18-9:49:57,136,98,212,49,16,3,33.00,23.00,5,7,8
22/2/18-9:50:58,135,99,204,50,12,2,33.00,23.00,5,7,8
22/2/18-9:51:59,137,95,197,42,9,3,33.00,23.00,3,5,5
22/2/18-9:53:0,135,99,221,58,12,1,33.00,23.00,3,5,5
22/2/18-9:54:1,134,97,212,51,13,1,33.00,23.00,2,3,6
22/2/18-9:55:2,137,98,225,60,14,2,33.00,23.00,2,3,6
22/2/18-9:56:3,135,97,220,55,14,3,33.00,23.00,3,5,7
22/2/18-9:57:4,137,98,240,71,13,3,33.00,23.00,3,5,7
22/2/18-9:58:5,134,98,211,47,14,2,33.00,24.00,4,5,5
22/2/18-9:59:6,136,95,230,74,13,2,33.00,23.00,4,5,5
22/2/18-10:0:7,135,99,252,80,17,3,33.00,24.00,4,8,14
22/2/18-10:1:8,135,98,217,51,14,1,33.00,24.00,4,8,14
22/2/18-10:2:9,135,97,208,49,13,3,33.00,24.00,4,5,5
22/2/18-10:3:10,135,94,199,44,12,4,33.00,23.00,3,4,4
22/2/18-10:4:11,135,96,213,56,11,3,32.00,23.00,2,4,5
22/2/18-10:5:12,135,99,208,50,9,0,34.00,24.00,3,5,6
22/2/18-10:6:13,136,100,240,88,13,3,33.00,23.00,3,7,7
22/2/18-10:7:14,134,94,223,47,11,3,33.00,24.00,3,7,7
22/2/18-10:8:15,133,97,216,53,12,2,31.00,23.00,4,5,5
22/2/18-10:9:16,135,99,262,74,16,2,33.00,23.00,4,5,5
22/2/18-10:10:17,133,97,229,59,18,2,33.00,23.00,4,6,12
22/2/18-10:11:18,135,94,199,41,12,4,33.00,24.00,4,6,12
22/2/18-10:12:19,135,99,213,48,13,3,33.00,24.00,2,5,8
