Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
26/2/18-0:0:9,142,72,181,67,6,1,36.00,20.00,9,14,14
26/2/18-0:1:10,140,70,176,60,6,3,36.00,20.00,12,15,18
26/2/18-0:2:11,140,70,186,64,7,1,35.00,21.00,12,16,18
26/2/18-0:3:12,139,72,183,60,8,3,36.00,20.00,12,16,17
26/2/18-0:4:13,142,72,186,67,8,3,36.00,20.00,12,16,17
26/2/18-0:5:14,140,71,181,65,6,1,35.00,21.00,10,14,14
26/2/18-0:6:15,141,68,178,69,7,3,36.00,20.00,10,14,14
26/2/18-0:7:16,140,72,178,63,5,0,35.00,20.00,11,16,18
26/2/18-0:8:17,140,70,190,63,9,2,36.00,20.00,11,16,19
26/2/18-0:9:18,141,69,163,57,7,2,35.00,21.00,10,14,14
26/2/18-0:10:19,140,70,185,64,9,3,36.00,20.00,10,14,14
26/2/18-0:11:20,139,70,177,64,6,3,36.00,20.00,11,19,19
26/2/18-0:12:21,140,67,158,49,7,3,35.00,20.00,11,18,18
26/2/18-0:13:22,139,70,179,63,8,1,36.00,20.00,10,15,18
26/2/18-0:14:23,140,71,185,75,5,0,36.00,20.00,11,15,18
26/2/18-0:15:24,141,71,181,62,8,4,36.00,20.00,10,14,15
26/2/18-0:16:25,141,70,164,54,6,1,36.00,20.00,10,14,15
26/2/18-0:17:26,139,70,185,65,8,1,36.00,20.00,9,14,15
26/2/18-0:18:27,140,72,181,61,7,3,0.00,0.00,10,14,15
26/2/18-0:19:28,138,69,182,53,7,2,35.00,20.00,11,15,18
26/2/18-0:20:29,141,76,182,64,7,3,36.00,20.00,11,15,18
26/2/18-0:21:30,138,70,180,62,8,1,36.00,20.00,10,13,15
26/2/18-0:22:31,140,70,173,54,7,3,36.00,20.00,10,13,15
26/2/18-0:23:32,140,71,181,77,8,1,36.00,20.00,12,15,15
26/2/18-0:24:33,141,71,183,61,9,1,36.00,20.00,12,15,15
26/2/18-0:25:34,139,70,178,63,10,2,36.00,20.00,10,14,16
26/2/18-0:26:35,140,68,167,52,10,2,36.00,20.00,10,14,16
26/2/18-0:27:36,138,69,186,71,8,1,36.00,20.00,11,15,15
26/2/18-0:28:37,141,72,182,68,9,3,36.00,20.00,10,14,14
26/2/18-0:29:38,139,70,172,65,11,3,36.00,20.00,8,12,14
26/2/18-0:30:39,143,68,160,48,7,3,36.00,20.00,8,12,14
26/2/18-0:31:40,142,72,198,66,8,3,35.00,20.00,10,13,13
26/2/18-0:32:41,140,70,189,65,9,3,36.00,20.00,10,12,12
26/2/18-0:33:42,141,71,195,64,9,1,36.00,20.00,8,13,13
26/2/18-0:34:43,141,70,179,67,9,3,36.00,20.00,8,13,13
26/2/18-0:35:44,140,72,177,59,7,1,36.00,20.00,11,14,15
26/2/18-0:36:45,140,71,179,64,7,2,35.00,20.00,11,14,15
26/2/18-0:37:46,141,71,175,66,9,1,36.00,20.00,8,10,10
26/2/18-0:38:47,141,73,176,59,9,3,36.00,20.00,8,10,10
26/2/18-0:39:48,140,70,178,62,9,3,36.00,20.00,8,12,12
26/2/18-0:40:49,139,68,170,50,8,4,36.00,20.00,9,13,13
26/2/18-0:41:50,141,70,205,80,8,3,36.00,20.00,7,10,10
26/2/18-0:42:51,142,70,181,58,8,2,36.00,20.00,7,10,10
26/2/18-0:43:52,141,71,185,69,8,3,36.00,20.00,7,9,13
26/2/18-0:44:53,141,68,169,53,8,3,36.00,20.00,7,9,13
26/2/18-0:45:54,143,74,179,58,7,3,35.00,20.00,9,11,15
26/2/18-0:46:55,143,72,178,64,6,1,37.00,20.00,9,11,15
26/2/18-0:47:56,143,72,182,62,7,2,36.00,20.00,8,11,12
26/2/18-0:48:57,142,70,165,48,5,2,36.00,20.00,8,11,12
26/2/18-0:49:58,141,72,183,82,6,2,34.00,20.00,9,12,14
26/2/18-0:50:59,143,71,169,66,9,2,36.00,20.00,9,12,14
26/2/18-0:52:0,142,70,171,60,7,3,36.00,20.00,9,11,11
26/2/18-0:53:1,141,66,158,51,8,5,36.00,20.00,9,11,11
26/2/18-0:54:2,142,72,176,64,7,2,36.00,20.00,7,11,12
26/2/18-0:55:3,143,71,175,64,8,3,36.00,20.00,7,10,11
26/2/18-0:56:4,143,75,186,69,6,1,36.00,20.00,9,12,12
26/2/18-0:57:5,142,68,171,58,6,2,36.00,20.00,9,12,12
26/2/18-0:58:6,141,70,169,58,7,1,36.00,20.00,8,12,15
26/2/18-0:59:7,141,70,200,66,9,3,36.00,20.00,8,13,16
26/2/18-1:0:8,143,72,176,60,9,3,36.00,20.00,8,11,11
26/2/18-1:1:9,140,69,167,50,8,2,36.00,20.00,8,11,11
26/2/18-1:2:10,143,71,193,73,10,3,36.00,20.00,9,12,12
26/2/18-1:3:11,141,71,178,70,9,2,36.00,20.00,9,12,12
26/2/18-1:4:12,142,73,197,76,9,2,36.00,20.00,9,14,14
26/2/18-1:5:13,142,68,166,51,9,3,36.00,20.00,8,13,13
26/2/18-1:6:14,141,70,163,48,8,3,36.00,20.00,9,13,16
26/2/18-1:7:15,141,69,171,57,9,2,36.00,20.00,9,14,16
26/2/18-1:8:16,138,68,159,53,8,2,36.00,20.00,8,16,22
26/2/18-1:9:17,142,70,181,57,6,0,36.00,20.00,9,18,25
26/2/18-1:10:18,144,68,168,48,8,4,36.00,19.00,10,15,15
26/2/18-1:11:19,143,72,173,59,9,3,36.00,20.00,10,15,15
26/2/18-1:12:20,142,71,185,63,10,3,36.00,20.00,10,15,15
26/2/18-1:13:21,141,68,185,61,7,2,36.00,19.00,10,15,15
26/2/18-1:14:22,142,71,192,77,8,2,36.00,20.00,11,14,14
26/2/18-1:15:23,143,71,169,56,8,1,36.00,20.00,11,14,15
26/2/18-1:16:24,144,73,196,81,7,1,36.00,20.00,10,13,13
26/2/18-1:17:25,143,68,164,51,9,4,36.00,20.00,10,13,13
26/2/18-1:18:26,144,72,183,60,6,1,36.00,20.00,9,13,13
26/2/18-1:19:27,142,70,176,57,7,3,36.00,19.00,9,14,14
26/2/18-1:20:28,145,69,165,60,7,1,35.00,20.00,12,15,17
26/2/18-1:21:29,144,70,173,57,8,3,36.00,20.00,12,15,17
26/2/18-1:22:30,143,71,192,82,8,2,36.00,19.00,12,18,18
26/2/18-1:23:31,142,72,187,69,8,1,36.00,19.00,12,18,18
26/2/18-1:24:32,143,71,182,64,8,2,36.00,19.00,11,16,18
26/2/18-1:25:33,143,75,196,68,7,2,36.00,19.00,11,16,19
26/2/18-1:26:34,143,69,175,56,7,3,36.00,19.00,10,14,17
26/2/18-1:27:35,143,72,192,73,8,2,36.00,20.00,10,14,17
26/2/18-1:28:36,143,72,174,60,9,4,36.00,20.00,12,17,18
26/2/18-1:29:37,142,72,194,61,10,2,36.00,19.00,12,17,18
26/2/18-1:30:38,143,72,174,55,9,3,36.00,19.00,12,16,20
26/2/18-1:31:39,143,70,170,60,8,0,36.00,20.00,12,17,20
26/2/18-1:32:40,144,67,191,63,8,4,36.00,19.00,12,18,18
26/2/18-1:33:41,144,71,192,61,7,2,36.00,19.00,11,17,17
26/2/18-1:34:42,144,70,190,69,10,3,36.00,19.00,12,14,16
26/2/18-1:35:43,143,74,185,62,9,3,36.00,19.00,12,14,16
26/2/18-1:36:44,142,71,166,57,9,3,36.00,19.00,13,17,20
