Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
1/3/18-0:0:23,853,367,443,68.80,19.80,7.30,14.10
1/3/18-0:1:24,853,368,444,68.70,19.80,6.20,10.40
1/3/18-0:2:25,853,369,448,68.90,19.80,6.40,10.10
1/3/18-0:3:26,853,371,448,66.80,19.80,6.80,14.40
1/3/18-0:4:27,852,373,447,68.10,19.80,7.00,11.60
1/3/18-0:5:28,853,370,446,69.50,19.80,7.10,12.30
1/3/18-0:6:29,853,370,445,68.30,19.80,6.80,12.90
1/3/18-0:7:29,853,368,444,69.90,19.80,7.30,11.80
1/3/18-0:8:30,852,367,439,67.10,19.80,6.20,10.90
1/3/18-0:9:31,853,368,444,67.10,19.80,6.20,8.90
1/3/18-0:10:32,852,361,447,68.30,19.80,5.90,10.50
1/3/18-0:11:33,853,369,447,67.50,19.70,6.30,9.20
1/3/18-0:12:34,853,371,448,68.00,19.80,6.10,11.40
1/3/18-0:13:35,853,376,450,68.20,19.80,5.60,10.10
1/3/18-0:14:36,853,369,446,68.00,19.80,5.90,10.90
1/3/18-0:15:37,853,369,445,66.60,19.80,5.70,8.30
1/3/18-0:16:38,853,372,446,67.00,19.70,5.40,11.30
1/3/18-0:17:39,853,374,446,67.20,19.70,4.80,7.40
1/3/18-0:18:40,853,372,444,68.40,19.80,5.20,9.90
1/3/18-0:19:41,852,366,441,67.10,19.80,5.60,10.00
1/3/18-0:20:42,853,370,442,69.20,19.70,4.50,7.40
1/3/18-0:21:43,853,367,442,68.40,19.70,4.20,7.10
1/3/18-0:22:44,852,367,441,68.30,19.70,4.80,8.80
1/3/18-0:23:45,853,364,440,68.90,19.70,4.60,7.60
1/3/18-0:24:46,852,366,440,69.00,19.70,4.40,9.20
1/3/18-0:25:47,853,365,440,67.80,19.70,4.30,7.20
1/3/18-0:26:48,853,365,441,68.50,19.70,4.10,8.90
1/3/18-0:27:49,852,364,439,68.40,19.70,4.50,10.30
1/3/18-0:28:50,852,363,439,69.30,19.70,4.00,6.40
1/3/18-0:29:51,853,367,440,67.90,19.70,4.40,9.20
1/3/18-0:30:52,853,367,441,68.50,19.70,5.00,11.30
1/3/18-0:31:53,853,368,444,69.20,19.70,4.40,10.10
1/3/18-0:32:54,853,367,443,68.80,19.70,4.10,8.30
1/3/18-0:33:55,853,370,447,68.00,19.70,4.40,7.30
1/3/18-0:34:56,853,374,444,68.00,19.70,4.30,8.70
1/3/18-0:35:57,852,369,439,69.50,19.70,4.80,7.70
1/3/18-0:36:58,853,373,445,67.60,19.70,4.60,10.20
1/3/18-0:37:59,853,375,442,67.60,19.60,4.90,7.80
1/3/18-0:39:0,853,368,438,69.30,19.60,4.10,6.40
1/3/18-0:40:1,853,366,437,68.60,19.60,5.20,8.70
1/3/18-0:41:2,853,368,439,69.80,19.70,4.00,6.90
1/3/18-0:42:3,852,370,438,68.70,19.60,4.60,8.60
1/3/18-0:43:4,853,367,439,68.30,19.60,4.10,8.80
1/3/18-0:44:5,853,371,438,69.40,19.60,4.10,7.20
1/3/18-0:45:6,853,367,438,69.00,19.60,5.10,11.80
1/3/18-0:46:7,853,362,437,68.70,19.60,4.80,11.20
