Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
5/3/18-1:35:2,843,145,364,53.90,23.70,1.30,3.30
5/3/18-1:36:3,844,145,377,54.50,23.70,1.60,6.60
5/3/18-1:37:4,843,163,378,54.50,23.70,1.60,4.90
5/3/18-1:38:5,844,161,365,54.50,23.70,1.10,3.00
5/3/18-1:39:6,843,161,379,53.90,23.70,1.60,3.80
5/3/18-1:40:7,843,143,366,54.20,23.70,1.70,4.80
5/3/18-1:41:8,844,135,357,53.50,23.70,1.40,4.10
5/3/18-1:42:9,842,155,378,53.10,23.70,1.30,3.80
5/3/18-1:43:10,844,151,368,53.80,23.70,1.20,4.10
5/3/18-1:44:11,843,131,354,54.40,23.70,1.40,4.20
5/3/18-1:45:12,845,137,366,52.90,23.70,1.20,2.10
5/3/18-1:46:13,844,140,362,53.50,23.70,1.30,4.20
5/3/18-1:47:14,842,145,365,53.50,23.80,1.30,5.20
5/3/18-1:48:15,844,131,362,53.40,23.70,1.30,2.30
5/3/18-1:49:16,844,128,362,52.90,23.80,1.50,4.40
5/3/18-1:50:17,843,138,368,53.10,23.70,1.40,2.90
5/3/18-1:51:18,844,122,354,52.80,23.80,1.30,2.30
5/3/18-1:52:19,843,128,354,53.60,23.80,1.90,8.10
5/3/18-1:53:20,844,123,358,54.00,23.80,1.00,2.40
5/3/18-1:54:21,844,147,397,52.60,23.70,1.00,2.10
5/3/18-1:55:22,843,165,372,53.00,23.80,1.20,2.00
5/3/18-1:56:23,844,147,372,52.90,23.80,1.20,1.80
5/3/18-1:57:24,843,171,379,52.80,23.80,1.00,2.00
5/3/18-1:58:25,844,168,380,51.60,23.80,0.90,1.70
5/3/18-1:59:26,844,148,361,51.40,23.90,1.70,6.00
5/3/18-2:0:27,843,137,364,51.20,23.90,1.20,1.50
5/3/18-2:1:28,843,137,357,51.20,23.90,1.00,1.90
5/3/18-2:2:29,844,148,383,51.30,23.90,1.30,2.20
5/3/18-2:3:30,842,154,395,52.10,23.90,1.20,1.80
5/3/18-2:4:31,843,152,372,51.00,23.90,1.40,3.40
5/3/18-2:5:32,842,148,368,50.80,23.80,1.60,4.40
5/3/18-2:6:33,844,147,376,51.10,23.80,1.80,2.80
5/3/18-2:7:34,844,158,370,51.10,23.80,1.70,3.60
5/3/18-2:8:35,844,158,371,51.00,23.90,1.40,2.70
5/3/18-2:9:36,843,171,385,51.20,23.90,1.60,4.20
5/3/18-2:10:37,844,166,372,51.80,23.90,1.60,3.80
5/3/18-2:11:38,843,179,386,51.20,23.90,2.00,4.20
5/3/18-2:12:39,843,170,380,50.70,23.90,1.90,2.70
5/3/18-2:13:40,844,176,385,50.80,23.90,2.20,3.60
5/3/18-2:14:41,843,193,382,51.30,23.90,2.70,7.50
5/3/18-2:15:42,844,170,374,50.40,23.90,2.30,4.40
5/3/18-2:16:43,844,160,363,49.80,23.90,2.90,4.30
5/3/18-2:17:44,844,162,374,50.40,23.90,2.90,4.90
5/3/18-2:18:45,844,156,363,50.40,23.90,2.80,5.50
5/3/18-2:19:45,843,168,371,49.50,23.90,2.40,5.70
5/3/18-2:20:46,844,160,371,50.90,24.00,3.10,8.30
5/3/18-2:21:47,844,165,363,50.60,23.90,2.60,4.80
5/3/18-2:22:48,843,155,371,51.00,24.00,3.00,4.70
5/3/18-2:23:49,844,161,372,50.70,23.90,2.50,6.80
5/3/18-2:24:50,844,140,357,50.90,23.90,2.60,5.50
5/3/18-2:25:51,843,151,372,50.80,23.90,2.50,4.80
5/3/18-2:26:52,843,156,384,51.20,23.90,2.70,7.40
5/3/18-2:27:53,845,163,376,50.80,23.80,2.80,4.60
5/3/18-2:28:54,844,151,357,51.10,23.80,2.60,5.70
5/3/18-2:29:55,843,183,401,51.50,23.90,2.30,3.50
5/3/18-2:30:56,844,176,368,51.30,23.90,1.70,4.00
5/3/18-2:31:57,844,160,367,51.10,24.00,1.90,5.80
5/3/18-2:32:58,844,155,367,50.10,23.90,1.90,2.60
5/3/18-2:33:59,843,129,355,49.80,23.90,2.00,6.70
5/3/18-2:35:0,843,150,396,49.40,23.90,1.80,4.50
5/3/18-2:36:1,844,149,372,49.90,23.90,1.90,2.90
5/3/18-2:37:2,844,148,365,50.40,23.90,1.70,4.10
5/3/18-2:38:3,843,161,375,49.50,23.90,1.70,2.50
5/3/18-2:39:4,844,157,365,49.40,23.90,1.80,3.10
5/3/18-2:40:5,843,162,374,49.00,24.00,1.40,2.50
5/3/18-2:41:6,843,171,373,49.40,23.90,1.90,6.80
5/3/18-2:42:7,844,175,373,48.80,23.90,1.90,3.80
5/3/18-2:43:8,844,172,374,49.50,23.90,2.50,5.10
5/3/18-2:44:9,844,175,386,48.50,23.90,2.70,4.10
5/3/18-2:45:10,844,164,370,50.20,23.90,2.60,4.90
5/3/18-2:46:11,844,152,358,50.20,23.90,3.60,7.50
5/3/18-2:47:12,844,166,385,50.00,23.80,4.20,8.40
5/3/18-2:48:13,844,150,360,50.90,23.80,4.10,5.80
5/3/18-2:49:14,844,167,375,51.70,23.70,3.60,10.40
5/3/18-2:50:15,843,171,371,53.70,23.60,3.20,6.20
5/3/18-2:51:16,843,163,373,54.10,23.60,3.50,7.50
5/3/18-2:52:17,843,154,363,54.60,23.60,3.20,9.30
5/3/18-2:53:18,844,155,367,54.70,23.50,2.90,7.20
5/3/18-2:54:19,844,164,374,54.40,23.40,2.60,5.40
5/3/18-2:55:20,843,173,376,56.30,23.40,2.90,5.20
5/3/18-2:56:21,843,172,379,55.90,23.40,2.50,5.20
5/3/18-2:57:22,843,166,369,55.70,23.30,2.20,5.90
5/3/18-2:58:23,842,171,371,54.80,23.30,2.50,5.70
5/3/18-2:59:24,843,163,376,55.20,23.30,2.50,5.10
5/3/18-3:0:25,843,152,361,54.90,23.30,2.20,4.80
5/3/18-3:1:26,843,158,364,54.60,23.20,2.20,5.00
5/3/18-3:2:27,842,164,367,55.80,23.10,2.30,4.60
5/3/18-3:3:28,844,140,352,54.60,23.00,3.00,6.80
5/3/18-3:4:29,844,140,366,54.70,23.00,2.00,3.80
5/3/18-3:5:30,844,146,362,55.60,22.90,2.10,4.50
5/3/18-3:6:31,844,150,378,55.40,22.90,2.10,6.10
5/3/18-3:7:32,843,149,365,55.60,22.90,2.10,4.50
5/3/18-3:8:33,843,169,378,54.20,22.80,1.70,4.60
5/3/18-3:9:33,846,151,367,55.00,22.80,1.90,3.80
5/3/18-3:10:34,844,130,346,54.00,22.80,1.30,3.70
5/3/18-3:11:35,844,142,348,54.10,22.80,1.50,2.90
5/3/18-3:12:36,842,141,352,53.40,22.80,1.50,5.20
5/3/18-3:13:37,842,139,354,54.90,22.80,1.60,6.20
5/3/18-3:14:38,844,126,345,55.40,22.70,1.50,6.00
5/3/18-3:15:39,844,138,353,55.40,22.60,1.70,7.50
5/3/18-3:16:40,844,134,346,54.90,22.60,1.30,3.30
5/3/18-3:17:41,843,153,391,54.50,22.60,1.20,3.70
5/3/18-3:18:42,844,158,367,55.10,22.60,1.30,3.10
5/3/18-3:19:43,843,157,355,54.60,22.60,0.90,3.00
5/3/18-3:20:44,843,190,382,54.60,22.60,1.40,2.80
5/3/18-3:21:45,844,181,364,54.90,22.70,0.80,3.00
5/3/18-3:22:46,844,191,376,55.30,22.80,1.00,3.70
5/3/18-3:23:47,844,195,373,54.70,22.80,1.20,3.60
5/3/18-3:24:48,843,197,368,54.10,22.80,0.80,2.00
5/3/18-3:25:49,843,173,357,54.20,22.80,0.80,2.90
5/3/18-3:26:50,844,180,367,54.60,22.80,1.00,1.90
5/3/18-3:27:51,845,179,364,55.10,22.80,1.00,1.30
5/3/18-3:28:52,846,173,365,54.70,22.90,1.30,3.80
5/3/18-3:29:53,843,164,372,53.20,22.80,0.80,1.60
5/3/18-3:30:54,844,148,369,53.50,22.80,1.00,2.20
5/3/18-3:31:55,846,169,382,53.20,22.90,1.00,2.50
5/3/18-3:32:56,844,165,374,52.60,22.90,0.90,2.30
5/3/18-3:33:57,843,191,382,52.60,22.90,0.80,2.40
5/3/18-3:34:58,844,181,376,53.80,22.90,0.90,3.00
5/3/18-3:35:59,844,176,366,53.00,22.90,0.70,0.90
5/3/18-3:37:0,844,168,352,52.60,22.90,0.80,1.60
5/3/18-3:38:1,844,158,366,52.00,22.90,1.10,3.40
5/3/18-3:39:2,843,182,382,52.50,22.90,0.70,1.60
5/3/18-3:40:3,844,196,373,52.30,23.00,0.60,1.40
5/3/18-3:41:4,843,235,392,52.50,23.00,0.70,1.10
5/3/18-3:42:5,843,229,381,53.00,23.00,0.90,1.10
5/3/18-3:43:6,843,215,389,53.20,23.00,1.00,2.70
5/3/18-3:44:7,844,191,367,53.00,23.00,0.80,1.00
5/3/18-3:45:8,844,190,371,52.20,23.00,0.90,1.80
5/3/18-3:46:9,843,180,377,52.10,23.00,0.80,2.90
5/3/18-3:47:10,844,161,359,52.20,22.90,0.90,2.80
5/3/18-3:48:11,844,166,370,52.30,22.90,0.70,1.30
5/3/18-3:49:12,843,179,372,51.80,22.90,1.00,4.50
5/3/18-3:50:13,844,172,359,52.20,22.80,1.00,3.00
5/3/18-3:51:14,843,165,387,51.70,22.90,1.10,3.80
5/3/18-3:52:15,844,169,364,51.30,22.80,0.70,2.70
5/3/18-3:53:16,843,160,349,51.90,22.80,1.00,4.50
5/3/18-3:54:17,844,155,357,50.00,22.80,0.80,1.60
5/3/18-3:55:18,844,163,361,50.30,22.80,0.80,3.10
5/3/18-3:56:19,844,177,383,50.80,22.70,0.80,1.60
5/3/18-3:57:20,843,200,381,50.90,22.80,1.30,5.60
5/3/18-3:58:20,843,192,372,50.40,22.80,0.70,3.30
5/3/18-3:59:21,843,162,356,50.00,22.80,1.10,2.70
5/3/18-4:0:22,844,153,353,49.20,22.70,1.10,2.90
