Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
6/3/18-0:0:40,845,325,406,41.60,21.30,4.50,10.80
6/3/18-0:1:41,845,321,401,42.10,21.40,4.70,14.00
6/3/18-0:2:42,845,321,408,41.50,21.30,5.00,11.70
6/3/18-0:3:43,846,315,400,41.20,21.30,5.00,14.00
6/3/18-0:4:44,845,322,406,40.80,21.30,4.70,11.30
6/3/18-0:5:45,844,323,398,41.20,21.30,4.70,11.70
6/3/18-0:6:46,845,314,398,41.50,21.30,4.70,12.10
6/3/18-0:7:47,845,325,405,41.90,21.30,4.30,12.90
6/3/18-0:8:48,845,316,397,42.00,21.30,4.30,12.60
6/3/18-0:9:49,844,320,400,41.90,21.30,4.30,14.70
6/3/18-0:10:50,844,317,392,41.10,21.30,4.10,11.90
6/3/18-0:11:51,845,311,389,40.60,21.30,3.30,13.10
6/3/18-0:12:52,845,312,391,40.70,21.30,3.40,10.60
6/3/18-0:13:53,843,317,399,41.60,21.30,3.20,9.10
6/3/18-0:14:54,845,315,389,42.20,21.30,3.30,7.60
6/3/18-0:15:55,844,317,390,41.00,21.30,3.60,10.70
6/3/18-0:16:56,845,309,382,40.80,21.30,3.90,9.10
6/3/18-0:17:57,844,311,383,41.10,21.20,3.80,9.10
6/3/18-0:18:58,845,307,383,41.30,21.20,3.60,9.40
6/3/18-0:19:59,845,309,389,41.20,21.20,3.10,8.30
6/3/18-0:21:0,844,306,381,40.60,21.20,3.20,11.30
6/3/18-0:22:1,845,303,387,40.40,21.20,2.90,8.10
6/3/18-0:23:1,845,304,381,40.50,21.20,3.30,6.30
6/3/18-0:24:2,845,306,381,41.10,21.20,2.50,5.70
6/3/18-0:25:3,845,305,380,41.40,21.20,3.60,10.30
6/3/18-0:26:4,845,303,376,41.40,21.20,3.20,7.70
6/3/18-0:27:5,845,305,380,41.00,21.10,2.70,5.80
6/3/18-0:28:6,845,303,380,41.30,21.10,2.80,8.60
6/3/18-0:29:7,844,302,380,40.60,21.10,2.60,8.00
6/3/18-0:30:8,847,293,374,41.20,21.10,2.60,7.00
6/3/18-0:31:9,845,296,376,40.90,21.10,2.70,10.80
6/3/18-0:32:10,845,293,372,40.90,21.00,2.20,5.40
6/3/18-0:33:11,845,291,370,40.50,21.00,2.30,4.40
6/3/18-0:34:12,843,294,377,40.90,21.00,2.20,8.00
6/3/18-0:35:13,845,284,368,40.50,21.00,1.80,9.10
6/3/18-0:36:14,845,285,376,40.20,21.00,2.40,11.70
6/3/18-0:37:15,846,275,370,40.10,20.90,1.90,8.00
6/3/18-0:38:16,844,277,369,39.60,20.90,2.00,5.60
6/3/18-0:39:17,843,276,367,39.40,20.90,2.50,8.50
6/3/18-0:40:18,845,257,364,39.20,20.90,2.50,6.10
6/3/18-0:41:19,845,265,369,39.20,20.80,2.30,4.90
6/3/18-0:42:20,844,272,373,40.40,20.80,2.00,6.50
6/3/18-0:43:21,845,275,374,40.50,20.90,2.20,4.40
6/3/18-0:44:22,845,271,366,40.40,20.90,1.70,3.60
6/3/18-0:45:23,844,271,369,40.50,20.90,2.00,7.10
6/3/18-0:46:24,845,271,368,39.70,20.90,2.20,6.20
6/3/18-0:47:25,843,277,375,40.40,20.90,2.10,7.50
6/3/18-0:48:26,845,280,373,39.90,20.80,3.10,9.30
6/3/18-0:49:27,847,283,375,40.40,20.90,2.30,9.70
6/3/18-0:50:28,845,284,370,40.40,20.90,2.20,6.90
6/3/18-0:51:29,847,278,371,40.50,20.80,2.70,8.50
6/3/18-0:52:30,848,267,371,40.70,20.80,1.60,8.20
6/3/18-0:53:31,845,271,366,39.80,20.80,2.30,8.00
6/3/18-0:54:32,845,265,368,39.80,20.80,2.30,9.30
6/3/18-0:55:33,845,267,374,40.20,20.80,2.20,7.70
6/3/18-0:56:34,844,276,382,40.80,20.80,1.90,6.20
6/3/18-0:57:35,845,274,374,40.50,20.80,2.30,12.00
6/3/18-0:58:36,845,270,368,40.20,20.80,1.90,7.80
6/3/18-0:59:37,844,268,374,40.50,20.80,2.00,6.60
6/3/18-1:0:38,845,259,370,40.00,20.80,2.10,3.90
6/3/18-1:1:39,845,265,378,39.60,20.80,2.00,6.20
6/3/18-1:2:40,845,258,366,39.70,20.80,2.20,6.90
6/3/18-1:3:41,846,251,365,39.60,20.80,2.20,5.10
6/3/18-1:4:42,845,253,365,39.20,20.80,2.20,7.10
6/3/18-1:5:43,844,255,383,39.80,20.80,2.00,7.50
6/3/18-1:6:44,846,251,367,39.90,20.80,2.20,4.70
6/3/18-1:7:45,845,249,364,39.30,20.70,2.60,12.90
6/3/18-1:8:45,845,237,355,39.10,20.70,2.20,9.60
6/3/18-1:9:46,845,220,354,39.00,20.70,2.10,7.70
6/3/18-1:10:47,844,226,357,39.20,20.70,2.50,9.40
6/3/18-1:11:48,845,223,365,39.30,20.70,2.50,7.40
6/3/18-1:12:49,845,225,357,39.30,20.70,2.60,7.80
6/3/18-1:13:50,844,238,372,39.50,20.60,2.90,8.50
6/3/18-1:14:51,844,247,371,39.80,20.70,2.60,11.10
6/3/18-1:15:52,844,246,372,39.70,20.70,2.50,6.00
6/3/18-1:16:53,847,226,356,39.10,20.70,2.40,8.90
6/3/18-1:17:54,848,227,364,39.30,20.70,2.10,8.40
6/3/18-1:18:55,845,233,371,39.40,20.60,2.10,10.50
6/3/18-1:19:56,844,237,364,39.30,20.60,2.80,8.20
6/3/18-1:20:57,843,221,358,39.00,20.60,2.30,8.00
6/3/18-1:21:58,844,215,364,39.00,20.60,2.60,6.10
6/3/18-1:22:59,845,219,362,39.00,20.50,2.40,8.30
6/3/18-1:24:0,845,215,356,38.60,20.60,3.00,6.90
6/3/18-1:25:1,844,211,353,38.40,20.50,3.50,10.30
6/3/18-1:26:2,845,208,357,39.00,20.50,2.90,11.10
6/3/18-1:27:3,843,212,366,39.40,20.50,2.80,7.40
6/3/18-1:28:4,846,204,366,39.60,20.40,3.20,10.10
6/3/18-1:29:5,845,214,357,38.60,20.40,3.10,6.00
6/3/18-1:30:6,844,210,349,39.20,20.40,3.20,9.90
6/3/18-1:31:7,845,220,368,38.90,20.40,3.10,12.40
6/3/18-1:32:8,845,224,361,39.60,20.40,3.20,8.10
6/3/18-1:33:9,844,220,359,39.20,20.40,3.80,11.60
6/3/18-1:34:10,845,219,351,40.50,20.40,3.40,7.30
6/3/18-1:35:11,845,219,356,39.10,20.40,2.70,8.50
6/3/18-1:36:12,845,229,359,39.60,20.40,3.50,6.90
6/3/18-1:37:13,845,228,349,39.90,20.40,3.10,8.40
6/3/18-1:38:14,845,210,352,40.00,20.40,3.40,8.50
6/3/18-1:39:15,845,218,359,39.60,20.40,3.10,7.40
6/3/18-1:40:16,844,227,359,39.90,20.40,3.20,7.30
6/3/18-1:41:17,844,231,377,40.00,20.40,3.30,7.60
6/3/18-1:42:18,848,228,361,39.70,20.40,3.20,7.20
6/3/18-1:43:19,846,219,360,40.10,20.40,3.90,10.80
6/3/18-1:44:20,845,225,360,40.20,20.40,3.40,8.60
6/3/18-1:45:21,845,228,356,40.00,20.40,3.50,7.20
6/3/18-1:46:22,844,218,345,39.80,20.40,3.80,9.00
6/3/18-1:47:23,844,215,360,39.40,20.40,3.40,9.20
6/3/18-1:48:24,844,208,355,39.60,20.30,3.40,7.80
6/3/18-1:49:25,844,209,358,39.30,20.30,3.20,8.30
6/3/18-1:50:26,845,209,354,39.90,20.30,3.30,7.40
6/3/18-1:51:27,845,208,356,40.10,20.20,3.20,8.40
6/3/18-1:52:28,844,221,374,40.30,20.30,3.60,10.80
6/3/18-1:53:28,844,220,367,40.00,20.30,3.50,13.00
6/3/18-1:54:29,845,228,355,40.30,20.30,3.50,5.70
6/3/18-1:55:30,845,211,349,41.00,20.40,3.00,6.10
6/3/18-1:56:31,845,217,366,40.10,20.30,3.50,12.10
6/3/18-1:57:32,844,232,365,40.60,20.40,3.20,11.40
